,Parameters,Minimum,Maximum,Mean,Median,STD,Sample_Skewness,Kurtosis
0,Earthquake Magnitude,4.0,7.9,5.425512744516894,5.19,1.1275275908548068,0.3831608272556515,-1.199243488981102
1,Hypocenter Depth (km),1.8,25.2,10.148538622143187,9.557,3.7947936175890145,0.45243962209521577,-0.31341757995732156
2,Joyner-Boore Dist. (km),1.0,498.58,120.6147256800369,97.96,92.71760942741082,1.0448311972252842,0.7884968474225689
3,Vs30 (m/s) selected for analysis,89.32,2100.0,452.599471250741,402.6,193.44843682521832,1.6209499213768164,4.707929686199671
4,log10(T0.010S),-6.2646965849142395,0.25362873019375426,-2.2813333074564213,-2.109232578099865,1.0651466392971358,-0.5299344654854481,-0.2089928960141174
5,log10(T0.020S),-6.264920328603401,0.2644163871985353,-2.2779340725011537,-2.1043067949382515,1.0673989612261718,-0.5271313720976072,-0.21647451869144474
6,log10(T0.022S),-6.264896350550968,0.2691158268951194,-2.2753449330206266,-2.102581860110917,1.0677195587125041,-0.5254827024261933,-0.2163759388476305
7,log10(T0.025S),-6.264856390071932,0.27973536741050187,-2.270166436064288,-2.0984163670346274,1.0678172860744555,-0.5233551322524357,-0.215489147277649
8,log10(T0.029S),-6.264816433269418,0.2979573758101091,-2.26318986674194,-2.092814445049339,1.0692287463225285,-0.5238279144774235,-0.21046619177654202
9,log10(T0.030S),-6.264768489958456,0.3002693145303564,-2.2612716906559474,-2.0889383196534173,1.0695933119945096,-0.5236889244589686,-0.2094539211351436
10,log10(T0.032S),-6.264664630937814,0.3014206849138913,-2.2568460665808754,-2.0855087530833125,1.0703077859023142,-0.5238538298205815,-0.20708896521649178
11,log10(T0.035S),-6.264664630937814,0.3243236187005862,-2.2496645256057124,-2.0786257045815253,1.0716859068638627,-0.5247900685191055,-0.20320903871517348
12,log10(T0.036S),-6.2647205519395435,0.33262021956564053,-2.2472267573686056,-2.0767456164699745,1.0725061192855063,-0.5249154399573134,-0.20284401629588578
13,log10(T0.040S),-6.264760499921166,0.36819387826682454,-2.236613694418466,-2.065829918694706,1.0750894983036832,-0.5270433024902914,-0.19915037863348672
14,log10(T0.042S),-6.264744520287567,0.3769417571467587,-2.2309354101447036,-2.0584488168294928,1.0762167600237114,-0.5281640480955663,-0.19590372434397585
15,log10(T0.044S),-6.2647205519395435,0.37106786227173627,-2.224892041680812,-2.0528016255619366,1.0775106445643117,-0.5290206416358033,-0.19247888180792616
16,log10(T0.045S),-6.2646965849142395,0.3660305139831938,-2.2217010121492655,-2.049528045841896,1.0782062326871564,-0.529680785518247,-0.19049315584005555
17,log10(T0.046S),-6.264656642811048,0.36593702282361734,-2.2184607421774962,-2.0471397793827086,1.0789487316866773,-0.5300830206094028,-0.18894112076070835
18,log10(T0.048S),-6.264576769623414,0.38859847182576485,-2.2117541316947733,-2.040133754731928,1.0801964651268638,-0.5309634345371617,-0.18613352999159227
19,log10(T0.050S),-6.264576769623414,0.40584134106896874,-2.2055763300690305,-2.0334922056913154,1.0810484310202744,-0.5319352008933341,-0.1843605770730412
20,log10(T0.055S),-6.26451288164832,0.39276727865564215,-2.187864745089753,-2.015067833932588,1.083982666137221,-0.5356567882570525,-0.17601632556420066
21,log10(T0.060S),-6.264504896312219,0.4424797690644486,-2.1697633139920027,-1.9930635486357073,1.087804541086047,-0.5405528540536022,-0.16656544799906925
22,log10(T0.065S),-6.264345220415829,0.4545857298675421,-2.1514566635123167,-1.9728543342256586,1.091046702465257,-0.5454134428724483,-0.15809078084671935
23,log10(T0.067S),-6.264185603205475,0.4394432274492469,-2.144127275383152,-1.9666164588268809,1.0921208365136317,-0.547826701083019,-0.15473736916872927
24,log10(T0.070S),-6.264057951662157,0.4258927240870379,-2.1332474681657394,-1.955303482889806,1.0937108359637198,-0.5520398453005784,-0.14792760676662065
25,log10(T0.075S),-6.263754929536972,0.4651596976461787,-2.115398772530066,-1.9386606331629326,1.0965368246702163,-0.5575274430983116,-0.13747185355207403
26,log10(T0.080S),-6.263794788791743,0.4917677794036942,-2.0989173272820185,-1.919770475115133,1.0985346443909705,-0.5622750426154636,-0.12567853833185305
27,log10(T0.085S),-6.263818706100687,0.5321553783942763,-2.0841289801321925,-1.9052494475224955,1.0994119719345261,-0.5660191984643781,-0.11413604223371543
28,log10(T0.090S),-6.263483983578155,0.4791576569791917,-2.0701224362301116,-1.8905226990412645,1.0999875002206922,-0.5688350195827107,-0.10507392174866759
29,log10(T0.095S),-6.263914388510291,0.4687164715154723,-2.0563804242689976,-1.877849680559195,1.1006502736404309,-0.5710682520106106,-0.09847213985936332
30,log10(T0.100S),-6.263468050843473,0.4405312703998912,-2.0448423377027827,-1.863342838126121,1.100392010938251,-0.5735579040666183,-0.09038628342998134
31,log10(T0.110S),-6.257746330093406,0.44431029051225734,-2.0230573161607546,-1.845971850396803,1.098459243258149,-0.5766620201930142,-0.06895890216828304
32,log10(T0.120S),-6.239788683279335,0.4930954066432732,-2.0040318603355374,-1.829591588274682,1.0960178497878816,-0.5769074652910416,-0.05480842970493338
33,log10(T0.130S),-6.196228885529811,0.4667490254648134,-1.9886227583062759,-1.8186996197331797,1.0925513981433304,-0.5768158127646625,-0.04103522325756925
34,log10(T0.133S),-6.193189399925479,0.4977725227240043,-1.9848062484687505,-1.818756839032591,1.0915305854949726,-0.5766618399145317,-0.03891362643763996
