Actual_0,Predicted_0,Lower Confidence Interval_0,Upper Confidence Interval_0,Actual_0.206896552,Predicted_0.206896552,Lower Confidence Interval_0.206896552,Upper Confidence Interval_0.206896552,Actual_0.413793103,Predicted_0.413793103,Lower Confidence Interval_0.413793103,Upper Confidence Interval_0.413793103,Actual_0.620689655,Predicted_0.620689655,Lower Confidence Interval_0.620689655,Upper Confidence Interval_0.620689655,Actual_0.827586207,Predicted_0.827586207,Lower Confidence Interval_0.827586207,Upper Confidence Interval_0.827586207,Actual_1.034482759,Predicted_1.034482759,Lower Confidence Interval_1.034482759,Upper Confidence Interval_1.034482759,Actual_1.24137931,Predicted_1.24137931,Lower Confidence Interval_1.24137931,Upper Confidence Interval_1.24137931,Actual_1.448275862,Predicted_1.448275862,Lower Confidence Interval_1.448275862,Upper Confidence Interval_1.448275862,Actual_1.655172414,Predicted_1.655172414,Lower Confidence Interval_1.655172414,Upper Confidence Interval_1.655172414,Actual_1.862068966,Predicted_1.862068966,Lower Confidence Interval_1.862068966,Upper Confidence Interval_1.862068966,Actual_2.068965517,Predicted_2.068965517,Lower Confidence Interval_2.068965517,Upper Confidence Interval_2.068965517,Actual_2.275862069,Predicted_2.275862069,Lower Confidence Interval_2.275862069,Upper Confidence Interval_2.275862069,Actual_2.482758621,Predicted_2.482758621,Lower Confidence Interval_2.482758621,Upper Confidence Interval_2.482758621,Actual_2.689655172,Predicted_2.689655172,Lower Confidence Interval_2.689655172,Upper Confidence Interval_2.689655172,Actual_2.896551724,Predicted_2.896551724,Lower Confidence Interval_2.896551724,Upper Confidence Interval_2.896551724,Actual_3.103448276,Predicted_3.103448276,Lower Confidence Interval_3.103448276,Upper Confidence Interval_3.103448276,Actual_3.310344828,Predicted_3.310344828,Lower Confidence Interval_3.310344828,Upper Confidence Interval_3.310344828,Actual_3.517241379,Predicted_3.517241379,Lower Confidence Interval_3.517241379,Upper Confidence Interval_3.517241379,Actual_3.724137931,Predicted_3.724137931,Lower Confidence Interval_3.724137931,Upper Confidence Interval_3.724137931,Actual_3.931034483,Predicted_3.931034483,Lower Confidence Interval_3.931034483,Upper Confidence Interval_3.931034483,Actual_4.137931034,Predicted_4.137931034,Lower Confidence Interval_4.137931034,Upper Confidence Interval_4.137931034,Actual_4.344827586,Predicted_4.344827586,Lower Confidence Interval_4.344827586,Upper Confidence Interval_4.344827586,Actual_4.551724138,Predicted_4.551724138,Lower Confidence Interval_4.551724138,Upper Confidence Interval_4.551724138,Actual_4.75862069,Predicted_4.75862069,Lower Confidence Interval_4.75862069,Upper Confidence Interval_4.75862069,Actual_4.965517241,Predicted_4.965517241,Lower Confidence Interval_4.965517241,Upper Confidence Interval_4.965517241,Actual_5.172413793,Predicted_5.172413793,Lower Confidence Interval_5.172413793,Upper Confidence Interval_5.172413793,Actual_5.379310345,Predicted_5.379310345,Lower Confidence Interval_5.379310345,Upper Confidence Interval_5.379310345,Actual_5.586206897,Predicted_5.586206897,Lower Confidence Interval_5.586206897,Upper Confidence Interval_5.586206897,Actual_5.793103448,Predicted_5.793103448,Lower Confidence Interval_5.793103448,Upper Confidence Interval_5.793103448,Actual_6,Predicted_6,Lower Confidence Interval_6,Upper Confidence Interval_6
-5.9469213,-5.1762857,-8.398483,-1.9540882,-5.954677,-6.018195,-9.228255,-2.808134,-5.9100947,-5.820757,-9.100069,-2.5414443,-5.3685565,-5.290516,-8.9173155,-1.6637162,-4.782516,-4.150763,-7.610702,-0.6908244,-4.954677,-4.990647,-8.779679,-1.2016143,-4.8041005,-4.052022,-7.53462,-0.5694241,-4.5482135,-4.453155,-8.154359,-0.7519508,-4.74958,-4.9441605,-8.547544,-1.340778,-4.767004,-4.742533,-8.095559,-1.3895077,-5.069051,-5.732238,-8.696889,-2.767587,-5.392545,-5.745487,-8.49435,-2.9966247,-5.332547,-5.7061076,-8.385882,-3.0263338,-5.7235384,-5.607774,-8.080528,-3.1350188,-6.152427,-6.312504,-8.533463,-4.0915446,-6.090444,-6.0891685,-8.391411,-3.7869267,-6.3233066,-6.395222,-8.591428,-4.199017,-6.071092,-5.819596,-7.9814005,-3.6577911,-5.879426,-6.63977,-8.774418,-4.505122,-6.1260986,-6.325637,-8.719342,-3.9319313,-6.3904057,-6.491592,-8.867405,-4.1157784,-6.4100504,-6.0642037,-8.44688,-3.6815274,-6.707744,-6.680864,-9.051737,-4.3099914,-7.06148,-6.213366,-8.732342,-3.6943908,-6.696804,-6.9887953,-9.174284,-4.803307,-7.0070047,-6.3084135,-8.761106,-3.8557217,-6.79588,-6.6651034,-9.126768,-4.203438,-7.0092173,-6.448234,-8.980532,-3.9159362,-7.113509,-6.2782187,-8.787924,-3.7685134,-6.5114493,-6.264296,-9.122327,-3.406265
-5.3645163,-4.9986086,-9.75431,-0.24290755,-5.3936186,-5.3598485,-9.750952,-0.96874475,-4.954677,-5.077426,-9.280256,-0.8745951,-3.9861815,-4.534694,-8.479578,-0.5898097,-4.218963,-4.7092514,-8.453254,-0.9652494,-3.443811,-4.316217,-8.244554,-0.3878812,-3.1337671,-4.0466743,-8.399197,0.30584866,-3.848235,-3.8582797,-8.556147,0.83958715,-3.4357615,-4.1107244,-9.424282,1.202833,-3.4270031,-2.4251506,-7.5414963,2.6911938,-3.890209,-4.399527,-10.413177,1.6141222,-3.8529518,-3.0801659,-9.378262,3.2179298,-4.3001623,-3.5742435,-10.372684,3.2241962,-4.8416376,-3.8632944,-10.842943,3.1163545,-4.4317985,-3.9245234,-10.949125,3.100079,-4.5214334,-3.7413096,-10.641472,3.1588528,-4.607303,-4.522461,-11.202708,2.157786,-4.759451,-4.592234,-11.284897,2.1004286,-4.692504,-2.3299525,-8.242604,3.582699,-5.0525665,-5.056377,-11.556322,1.4435673,-5.1624117,-3.5351782,-10.072276,3.0019207,-5.188425,-4.261163,-10.879095,2.3567686,-5.3133636,-4.9556537,-11.422064,1.5107561,-5.537602,-3.8235464,-10.101294,2.4542007,-5.372634,-4.499691,-10.869018,1.8696355,-5.5482135,-5.195769,-11.312942,0.92140394,-5.473661,-4.6403728,-10.804974,1.5242273,-5.3391347,-5.3334947,-11.236392,0.5694018,-5.835647,-4.6590185,-10.444669,1.126631,-5.8153086,-5.2701077,-10.685121,0.14490482
-9.257275,-7.0554442,-7.9823728,-6.128516,-9.155523,-6.848912,-7.6778345,-6.019989,-9.206209,-6.6705194,-7.4330225,-5.9080167,-9.016825,-6.599982,-7.084651,-6.1153126,-8.279015,-6.5412927,-6.884908,-6.197677,-8.185753,-6.5378146,-6.790402,-6.2852273,-8.716699,-6.5169296,-6.753803,-6.280057,-9.018182,-6.5919523,-6.6978474,-6.486057,-9.332547,-6.788419,-6.988472,-6.5883656,-9.44855,-6.840651,-7.060263,-6.6210394,-9.462181,-6.855642,-6.999049,-6.712234,-9.429457,-6.689978,-6.996361,-6.3835955,-9.879426,-6.6853547,-7.193103,-6.1776066,-9.623423,-6.6670585,-7.4303823,-5.9037347,-9.454693,-6.6802154,-7.3128743,-6.047557,-9.376751,-6.853306,-7.367786,-6.338825,-9.435334,-6.945038,-7.4284143,-6.4616613,-9.785156,-6.953794,-7.458975,-6.448613,-10.164944,-7.061479,-7.495958,-6.6270003,-9.769551,-7.081716,-7.6368713,-6.5265603,-9.595166,-7.2395535,-7.7915554,-6.687551,-9.767004,-7.23005,-7.81146,-6.64864,-9.995679,-7.3078465,-7.8629055,-6.7527876,-9.661544,-7.2563066,-7.90107,-6.6115427,-9.728158,-7.391592,-7.9847665,-6.798418,-9.462181,-7.3452964,-7.92921,-6.761382,-9.59346,-7.376876,-8.049768,-6.7039833,-9.90309,-7.2839866,-8.1013565,-6.466617,-9.754487,-7.2405925,-8.234674,-6.2465105,-9.667562,-7.164464,-8.282084,-6.046843
-3.908347,-4.257639,-10.533777,2.0184999,-4.421361,-5.177688,-11.099862,0.74448586,-4.3496923,-3.8508527,-9.929054,2.2273483,-3.919489,-5.1228075,-10.659619,0.41400447,-3.1117117,-4.1490026,-9.995943,1.6979386,-2.7326384,-4.336274,-10.178371,1.5058233,-2.9650242,-3.4169095,-9.40762,2.5738015,-3.7507308,-2.8797772,-8.575185,2.8156314,-3.966725,-4.6234827,-10.430792,1.1838259,-3.9721367,-4.2898936,-10.456971,1.877184,-4.2941365,-3.0429807,-9.324859,3.238897,-4.304518,-3.6078715,-10.238604,3.0228605,-4.3990273,-4.26071,-10.861891,2.340471,-4.4621806,-2.2949586,-8.534781,3.9448638,-4.3736596,-2.3713517,-8.617423,3.87472,-4.1456943,-5.464809,-11.290762,0.36114374,-4.3142586,-4.2249117,-10.929975,2.4801507,-4.091515,-3.9868798,-10.693577,2.7198172,-4.260428,-3.3630066,-9.993964,3.2679522,-4.1209044,-5.3887014,-11.632827,0.8554239,-4.2781897,-3.4899168,-10.102844,3.1230106,-4.3027706,-3.2675881,-9.619874,3.0846977,-4.25649,-4.9280534,-11.463826,1.60772,-4.192465,-3.3846202,-9.68744,2.9181986,-4.0644927,-5.3342686,-11.68043,1.0118932,-4.2276783,-4.074777,-10.673243,2.5236874,-4.294992,-6.038992,-11.74557,-0.33241308,-4.437707,-4.794024,-11.346199,1.7581502,-4.03105,-4.623673,-11.092477,1.8451321,-4.0447936,-5.4953594,-11.540412,0.54969335
-7.844664,-6.7646565,-7.7884502,-5.740863,-7.74958,-6.795918,-7.929263,-5.662573,-7.5243287,-6.694867,-7.7774334,-5.612301,-7.6458917,-6.0427356,-7.045617,-5.0398545,-7.399027,-6.141029,-7.3422337,-4.9398246,-7.112383,-5.861603,-7.2007756,-4.52243,-6.403403,-5.978103,-7.6529684,-4.3032374,-6.407823,-5.6093726,-7.5636377,-3.6551077,-6.093665,-5.538026,-7.4852047,-3.5908473,-6.462181,-5.3660674,-7.216862,-3.5152726,-6.630784,-5.843387,-7.7907724,-3.8960018,-7.040005,-6.028432,-7.867884,-4.188979,-7.1444807,-5.9968495,-7.8242064,-4.1694927,-7.3882766,-6.0946693,-7.8293138,-4.3600245,-7.659556,-5.7766285,-7.448321,-4.1049366,-7.546682,-6.691959,-8.156507,-5.2274103,-7.5934596,-6.6107993,-8.204177,-5.0174212,-7.79588,-6.290954,-7.906667,-4.675241,-7.798603,-6.648621,-8.337903,-4.9593387,-8.181774,-6.3740826,-8.060785,-4.6873803,-7.860121,-6.361067,-7.9810576,-4.741076,-7.9172144,-6.815802,-8.5009575,-5.130646,-7.978811,-6.6034727,-8.320774,-4.8861713,-8.245651,-6.6620655,-8.348226,-4.9759064,-8.58336,-7.047232,-8.603355,-5.4911084,-8.45967,-7.006849,-8.572555,-5.441142,-8.47366,-6.783431,-8.381867,-5.184994,-8.876148,-6.893415,-8.51222,-5.2746096,-8.742321,-6.9977336,-8.442576,-5.552891,-8.396855,-6.889918,-8.045125,-5.734711
-4.9914,-6.4726977,-8.203631,-4.7417645,-5.2967086,-6.594022,-8.185373,-5.0026703,-5.404504,-6.690131,-8.055173,-5.32509,-5.2839966,-6.1345863,-7.5353184,-4.7338543,-5.1456943,-5.9532933,-7.5397234,-4.366863,-5.163676,-5.706371,-7.4780583,-3.934683,-4.9746943,-5.259808,-6.9003096,-3.6193063,-4.801343,-5.6846795,-7.499171,-3.8701882,-4.4424925,-6.040068,-7.699142,-4.3809943,-3.8247576,-5.9235744,-7.60673,-4.2404194,-3.787927,-6.1284275,-7.7971363,-4.4597187,-4.123782,-5.9412413,-7.608079,-4.274403,-4.102373,-6.3038254,-7.9356823,-4.6719685,-4.69897,-6.1163197,-7.8065386,-4.426101,-4.326058,-5.9044523,-7.5857797,-4.223125,-4.853872,-6.257118,-7.9949493,-4.5192866,-4.9665766,-6.562438,-8.29105,-4.8338256,-4.6777806,-6.0547132,-7.667513,-4.441914,-5.298432,-6.5417185,-8.309095,-4.7743416,-5.3526173,-6.49586,-8.311758,-4.679962,-5.0145736,-6.653256,-8.431094,-4.8754177,-4.835647,-6.715012,-8.464797,-4.965227,-5.3757176,-6.6628256,-8.439585,-4.886067,-5.5114493,-6.637417,-8.369327,-4.9055066,-5.1536627,-6.6975336,-8.379469,-5.0155983,-5.097453,-6.70833,-8.418751,-4.99791,-5.009661,-6.6347136,-8.326739,-4.942688,-5.3001623,-7.0111012,-8.697966,-5.3242364,-5.2652006,-6.7215233,-8.488508,-4.9545383,-5.5016894,-6.985541,-8.673323,-5.2977586
-9.966577,-10.437805,-15.6677065,-5.207904,-9.958608,-10.483552,-15.824841,-5.1422634,-9.860121,-10.386145,-15.848858,-4.923431,-8.815309,-10.298627,-15.432188,-5.1650667,-8.524329,-9.127309,-14.053822,-4.200796,-7.7721133,-9.157271,-13.790678,-4.5238643,-8.368556,-9.672263,-14.231163,-5.1133623,-8.866461,-9.260713,-14.592583,-3.9288425,-9.251038,-8.405804,-13.751775,-3.0598335,-9.962573,-8.823327,-14.638285,-3.0083697,-9.69897,-10.777215,-16.77721,-4.77722,-9.158641,-9.031277,-15.16083,-2.9017253,-9.363512,-10.108816,-16.719034,-3.498597,-9.609065,-10.48954,-17.077662,-3.90142,-9.542118,-9.236813,-15.432779,-3.0408459,-9.835648,-10.280835,-16.799496,-3.7621741,-9.838632,-10.325761,-16.779482,-3.87204,-9.732828,-10.690706,-17.067005,-4.314407,-10.005683,-10.367815,-16.620148,-4.115483,-9.806875,-10.095248,-16.252995,-3.9375029,-9.89963,-10.400343,-16.481089,-4.319598,-10.1844225,-10.130268,-16.128073,-4.132465,-10.199283,-10.416513,-16.34216,-4.4908676,-10.055517,-10.09153,-15.810489,-4.372571,-9.995679,-10.388201,-16.101841,-4.6745605,-10.216811,-10.668367,-16.308031,-5.028703,-10.070581,-11.175216,-16.491308,-5.8591228,-10.07007,-10.869915,-16.210455,-5.5293736,-10.361511,-10.614137,-15.881573,-5.346702,-10.752027,-10.488688,-15.744248,-5.2331295
-3.9566298,-5.332298,-10.880115,0.21551892,-3.553132,-4.9096866,-10.905566,1.0861921,-3.2878666,-4.3679037,-10.623875,1.8880672,-3.1289842,-5.317769,-10.903012,0.26747385,-3.4544654,-4.3177032,-10.371115,1.7357079,-3.7797036,-3.6925852,-9.78346,2.3982887,-3.8131735,-4.362401,-10.097725,1.3729224,-4.369572,-3.6912062,-9.205712,1.8232998,-4.6635404,-3.8674536,-9.125274,1.3903669,-4.340084,-5.0263624,-9.829031,-0.22369418,-4.429457,-4.3935647,-9.315923,0.528794,-4.6090646,-5.6710143,-9.823177,-1.5188513,-5.080922,-3.8769855,-8.409831,0.6558597,-4.5072393,-3.8349168,-8.006081,0.336247,-4.2013493,-4.089046,-8.503875,0.32578316,-4.5171266,-5.0855427,-9.664534,-0.5065516,-5.003051,-5.3523355,-9.947006,-0.7576637,-5.328827,-4.76184,-9.389899,-0.13378054,-5.151195,-4.7657547,-9.508094,-0.023415703,-5.4698005,-5.959261,-10.415016,-1.5035062,-5.543634,-5.037684,-9.960883,-0.11448433,-5.4100504,-4.867872,-9.727926,-0.007818339,-5.6401644,-4.5864387,-9.515967,0.34309062,-5.417937,-5.1044965,-10.1646805,-0.04431212,-5.423659,-5.364995,-10.443588,-0.2864014,-5.844664,-5.8843603,-10.765383,-1.0033368,-5.8728952,-5.884482,-10.8064575,-0.96250665,-5.69037,-4.6252,-9.747153,0.49675378,-5.371611,-4.91775,-10.223177,0.38767743,-5.2020407,-6.081832,-11.019465,-1.1441987
-9.443698,-9.677192,-14.521743,-4.832642,-9.318759,-9.373954,-14.088942,-4.658965,-8.954677,-9.732482,-14.1000395,-5.3649254,-9.009661,-9.653294,-13.815159,-5.491428,-9.228413,-7.5906196,-11.137206,-4.044034,-8.411168,-8.427367,-12.866691,-3.9880433,-8.844664,-9.811106,-14.064805,-5.557406,-9.077274,-8.300999,-12.883423,-3.7185752,-9.402305,-8.390058,-13.115394,-3.6647217,-9.630784,-9.029101,-14.2132635,-3.8449385,-9.74958,-10.4860325,-15.447731,-5.524333,-9.863279,-9.874372,-15.507677,-4.241065,-9.974694,-10.6130295,-16.22281,-5.0032473,-9.943095,-10.418518,-16.246431,-4.5906053,-10.233587,-9.90145,-15.811854,-3.9910467,-9.966577,-9.092783,-14.654016,-3.5315495,-10.075204,-10.32182,-16.152115,-4.491525,-10.007005,-9.513739,-15.1894245,-3.8380532,-9.982966,-11.031016,-16.617573,-5.4444604,-10.015923,-9.6486635,-15.348037,-3.9492905,-9.815309,-9.39201,-14.85902,-3.9249997,-10.097998,-11.130831,-16.618425,-5.643237,-9.91364,-10.343432,-16.119118,-4.567746,-10.036685,-11.478368,-16.727854,-6.228881,-9.97881,-9.578918,-15.102264,-4.055572,-9.896196,-11.281907,-16.780884,-5.782931,-9.954677,-11.022734,-16.682467,-5.3630013,-10.043351,-9.883433,-15.415092,-4.351773,-9.917214,-10.751459,-16.273771,-5.2291455,-10.0,-10.491367,-15.7519,-5.230836
-8.009661,-8.361293,-10.505675,-6.216911,-7.917215,-8.613681,-10.822157,-6.4052043,-7.7351823,-7.936309,-9.973639,-5.898978,-7.89279,-7.3853207,-9.14835,-5.6222916,-7.860121,-7.942493,-9.979914,-5.905072,-6.91364,-7.7739677,-10.057913,-5.4900227,-6.920819,-7.851783,-10.328971,-5.3745947,-7.89279,-8.412224,-11.047157,-5.7772913,-8.440093,-8.331397,-11.358946,-5.303849,-8.764471,-8.208918,-11.215188,-5.2026477,-8.707744,-7.9879622,-10.992494,-4.983431,-8.853872,-8.072157,-11.170504,-4.973811,-8.777284,-8.492613,-11.786453,-5.1987724,-8.619789,-9.1025915,-12.358812,-5.8463707,-9.131944,-8.497548,-11.846962,-5.148135,-9.653647,-8.540874,-11.800382,-5.2813654,-9.638272,-8.785809,-12.079615,-5.4920034,-9.392545,-9.014626,-12.280012,-5.74924,-9.841638,-8.752525,-12.000417,-5.504635,-9.935542,-8.644207,-11.819258,-5.469157,-10.215383,-9.020949,-12.271239,-5.7706604,-10.627088,-9.32852,-12.414928,-6.2421107,-10.277366,-9.031092,-12.113914,-5.948271,-10.244887,-9.191974,-12.201487,-6.182461,-10.2716465,-9.467648,-12.274214,-6.6610813,-9.987163,-8.754372,-11.580404,-5.928338,-10.179142,-8.883675,-11.694482,-6.072867,-9.954677,-8.849948,-11.498733,-6.201164,-9.966577,-8.983559,-11.461051,-6.5060663,-9.533133,-8.973094,-11.177883,-6.7683043
