Aleatory Uncertainty,Epistemic Uncertainty
0.30360308,0.045514897
0.31168687,0.0440422
0.29291525,0.042166717
0.2798586,0.042148817
0.2593403,0.037704736
0.2581404,0.039946154
0.2524394,0.040192634
0.24781469,0.040840514
0.25359884,0.039607123
0.24715845,0.039403122
0.24538104,0.03862884
0.2395434,0.03939309
0.24248476,0.03901049
0.23603514,0.039096024
0.24622436,0.039298628
0.24877551,0.039282534
0.24526273,0.038068622
0.24579722,0.03842881
0.23242784,0.038977373
0.24636754,0.03888124
0.25156912,0.040853612
0.24691351,0.040763594
0.2503174,0.040821392
0.24839121,0.04120447
0.24466102,0.04118044
0.25067306,0.039198365
0.23412813,0.038555536
0.23883708,0.040664397
0.2427425,0.040730204
0.23621534,0.03691054
0.23865478,0.04006044
0.25047147,0.038712393
0.24062993,0.038603913
0.24629569,0.04017929
0.2419975,0.038954858
0.24317507,0.038729463
0.2506394,0.038898215
0.25843742,0.037200134
0.26970646,0.039347433
0.2621516,0.041683096
0.24552116,0.037929926
0.25030738,0.038623348
0.24441472,0.037524674
0.24316736,0.03665814
0.24132428,0.037696727
0.23999396,0.036874067
0.2699104,0.03766542
0.2526769,0.037799336
0.25542963,0.039469823
0.25201532,0.03766598
0.26150367,0.040965147
0.26263547,0.03736082
0.2859539,0.03862673
0.27006462,0.03812854
0.26095384,0.036241304
0.27189025,0.0388947
0.27229184,0.03903707
0.272732,0.037412953
0.2732463,0.037812263
0.26775807,0.037177574
0.27161884,0.038230263
0.28644297,0.03703196
0.2790694,0.03750089
0.28264424,0.038816534
0.2791108,0.039066624
0.29166195,0.0361703
0.30296564,0.037561413
0.29614294,0.03930435
0.2707822,0.036402386
0.27771106,0.034179732
0.27954444,0.03657532
0.29359397,0.03837748
0.2821379,0.035509717
0.28458306,0.035722688
0.2781854,0.03497227
0.28938675,0.035586342
0.30248785,0.033713404
0.2820319,0.035921
0.2884345,0.035252642
0.29129684,0.03700193
0.2986495,0.035341527
0.30364725,0.03454739
0.29371658,0.03671978
0.30599654,0.035586227
0.3048371,0.035864577
0.2906802,0.034221224
0.2927905,0.0335578
0.29033732,0.032435022
0.30665073,0.033401184
0.30666956,0.033897277
0.30556548,0.03396351
0.31537917,0.033695877
0.31958395,0.034439374
0.33215675,0.03507169
0.3256897,0.03528911
0.31577235,0.035678145
0.33109635,0.0347609
0.33795178,0.035999794
0.33036834,0.033859104
0.33746627,0.0353403
0.35036102,0.034073137
0.34139442,0.035404984
0.3538264,0.036914207
0.35076585,0.03548831
0.35203367,0.035954725
0.34078225,0.035420705
0.34927928,0.036167696
0.3485329,0.03562424
0.34978226,0.035617676
0.33977666,0.03385588
0.32657945,0.034452308
0.33270174,0.03468498
0.34810323,0.03711872
0.36714247,0.03963121
0.3610602,0.037427124
0.34142762,0.03485433
0.36995313,0.040170535
0.37490425,0.0404762
0.357971,0.038536217
0.35998222,0.037910927
0.34180394,0.037359204
0.33849692,0.034923762
0.34295762,0.036780436
0.35430607,0.036549352
0.35231405,0.03872492
0.37991133,0.039452154
0.36411908,0.03612957
0.3370584,0.034137018
0.36392045,0.03802882
0.36492854,0.03981313
0.36716783,0.040071826
0.3557404,0.038692772
0.34856534,0.038481943
0.3518671,0.039148245
0.34448975,0.03899741
0.35487404,0.03752826
0.34098345,0.038760178
0.3518958,0.039319273
0.32500514,0.037722282
0.3231182,0.035403755
0.3375304,0.037899442
0.3378325,0.038040947
0.3148018,0.0372068
0.32819188,0.03487435
0.33932716,0.03890468
0.32010648,0.03794296
0.34248748,0.040524404
0.34045053,0.040010024
0.34707832,0.039915323
0.34573984,0.038334284
0.3323956,0.036068786
0.34543353,0.03941872
0.33515534,0.036283497
0.32784197,0.0374337
0.32509962,0.03772429
0.33211643,0.037390392
0.34243068,0.039481
0.33157736,0.039202224
0.3533152,0.039715603
0.35276207,0.040115252
0.3516547,0.044375468
0.34618783,0.045596186
0.3353808,0.044332128
0.34188098,0.043805335
0.33449763,0.042434655
0.33736628,0.04329886
0.32127097,0.041099086
0.33532467,0.04377684
0.33590624,0.043584194
0.3285642,0.044492472
0.33479604,0.04323941
0.31758147,0.043291356
0.32017332,0.043821238
0.32789662,0.039704073
0.31014925,0.042321008
0.31863597,0.04274767
0.33174938,0.044585858
0.32973555,0.040825933
0.31478545,0.042979613
0.31146875,0.042694107
0.3180784,0.041599415
0.32580063,0.04384651
0.328066,0.044553295
0.32776648,0.04233317
0.32475778,0.044557843
0.30621612,0.041827876
0.2916156,0.03721975
0.28924742,0.038370535
0.31757843,0.0430692
0.2990046,0.041997496
0.31857604,0.04376464
0.3028716,0.04178758
0.31412172,0.042232778
0.32141703,0.043532524
0.3198817,0.04610977
0.33529636,0.044785783
0.3239693,0.043871336
0.32664546,0.04312536
0.323085,0.0430213
0.3138513,0.042027287
0.31915414,0.044731863
0.3142289,0.04228361
0.32010457,0.043806527
0.3109868,0.044736322
0.2995073,0.042338457
0.30151075,0.041589893
0.30069926,0.041783445
0.29384744,0.04190357
0.2947358,0.043708783
0.3037636,0.043388087
0.30892473,0.046106163
0.3023857,0.04243515
0.29862258,0.044767752
0.31366435,0.0450126
0.30058303,0.046167426
0.30067945,0.043372296
0.29309535,0.042164076
0.3016805,0.044930547
0.28936496,0.045407712
0.3041337,0.04328147
