SID,EID,Mag,Rjb,logRjb,logVS_30,H,FM,FreI_  7,FreI_  8,FreI_  9,FreI_ 10,FreI_ 11,FreI_ 12,FreI_ 13,FreI_ 14,FreI_ 15,FreI_ 16,FreI_ 17,FreI_ 18,FreI_ 19,FreI_ 20,FreI_ 21,FreI_ 22,FreI_ 23,FreI_ 24,FreI_ 25,FreI_ 26,FreI_ 27,FreI_ 28,FreI_ 29,FreI_ 30,FreI_ 31,FreI_ 32,FreI_ 33,FreI_ 34,FreI_ 35,FreI_ 36,FreI_ 37,FreI_ 38,FreI_ 39,FreI_ 40,FreI_ 41,FreI_ 42,FreI_ 43,FreI_ 44,FreI_ 45,FreI_ 46,FreI_ 47,FreI_ 48,FreI_ 49,FreI_ 50,FreI_ 51,FreI_ 52,FreI_ 53,FreI_ 54,FreI_ 55,FreI_ 56,FreI_ 57,FreI_ 58,FreI_ 59,FreI_ 60,FreI_ 61,FreI_ 62,FreI_ 63,FreI_ 64,FreI_ 65,FreI_ 66,FreI_ 67,FreI_ 68,FreI_ 69,FreI_ 70,FreI_ 71,FreI_ 72,FreI_ 73,FreI_ 74,FreI_ 75,FreI_ 76,FreI_ 77,FreI_ 78,FreI_ 79,FreI_ 80,FreI_ 81,FreI_ 82,FreI_ 83,FreI_ 84,FreI_ 85,FreI_ 86,FreI_ 87,FreI_ 88,FreI_ 89,FreI_ 90,FreI_ 91,FreI_ 92,FreI_ 93,FreI_ 94,FreI_ 95,FreI_ 96,FreI_ 97,FreI_ 98,FreI_ 99,FreI_100,FreI_101,FreI_102,FreI_103,FreI_104,FreI_105,FreI_106,FreI_107,FreI_108,FreI_109,FreI_110,FreI_111,FreI_112,FreI_113,FreI_114,FreI_115,FreI_116,FreI_117,FreI_118,FreI_119,FreI_120,FreI_121,FreI_122,FreI_123,FreI_124,FreI_125,FreI_126,FreI_127,FreI_128
176.0,2409.0,6.609999960660935,290.4900024557113,5.671568935310811,6.018106524353928,12.500000240802766,0.0,-14.692807,-12.176257,-12.321386,-11.656175,-12.995199,-11.561275,-11.939984,-11.954393,-12.176657,-11.98999,-11.8762245,-11.913841,-11.2848,-11.63157,-11.760715,-11.8432045,-12.377139,-12.673316,-13.130318,-13.100292,-13.202728,-13.256208,-13.290863,-13.442602,-13.7667055,-13.871721,-13.536798,-13.491706,-13.63396,-13.779082,-13.3738365,-13.428447,-13.284265,-13.472624,-13.43317,-13.497185,-13.602005,-13.6942425,-13.859411,-14.3407955,-14.573227,-14.263724,-14.568768,-14.32378,-14.5784445,-14.641181,-14.636035,-14.589561,-14.718199,-14.833054,-14.882501,-14.913549,-14.663203,-14.617572,-14.745378,-14.6879835,-14.93042,-15.200296,-14.979876,-14.932818,-15.002849,-14.961289,-14.841666,-15.061164,-14.815487,-14.931858,-14.830492,-15.054035,-14.90858,-14.786549,-14.880848,-15.164498,-15.142831,-14.812363,-15.083958,-14.849097,-15.062134,-15.046042,-15.448125,-15.287638,-15.142766,-15.103174,-15.109762,-15.196077,-15.115813,-15.356935,-15.235048,-15.130138,-15.214035,-15.226805,-15.618488,-15.119703,-15.240958,-15.268109,-15.335033,-15.479611,-15.43185,-15.737995,-15.556682,-15.427006,-15.425122,-15.349578,-15.767397,-16.002161,-15.473599,-15.538499,-15.343136,-15.605686,-15.675822,-15.713439,-16.018618,-15.502308,-16.373005,-15.688603,-15.7862625,-15.748862,-15.690664,-15.797801,-16.445826,-16.047459,-16.193342,-15.827603
170.0,1257.0,4.920000011324883,44.90999896213412,3.8046604042891277,6.054932220439153,6.299999940395356,0.0,-12.366444,-13.953157,-13.245479,-12.332131,-11.75121,-11.37365,-10.612342,-10.326538,-10.837336,-10.267379,-10.335926,-10.655673,-10.591514,-10.904319,-10.466502,-10.392218,-10.544823,-10.525807,-10.4419565,-10.24097,-10.601471,-10.439776,-11.48019,-11.346214,-10.90062,-11.05881,-11.123256,-11.353393,-11.746376,-11.645571,-11.761767,-11.405239,-11.72048,-11.019964,-10.036358,-10.147973,-10.667571,-10.47574,-10.32003,-10.266282,-9.844188,-10.095786,-10.42229,-10.466243,-10.428655,-10.458031,-11.032246,-11.298134,-11.417283,-11.34766,-11.197661,-11.396587,-11.311756,-11.336684,-11.531012,-11.599027,-11.483302,-11.780013,-12.134792,-11.797176,-12.401364,-12.615779,-12.544631,-12.968359,-12.213749,-13.098616,-13.030038,-12.752249,-12.667523,-12.31982,-13.020786,-13.001517,-12.918847,-13.054911,-12.932502,-12.9393,-12.94668,-12.926987,-12.876796,-12.938335,-13.148446,-13.043544,-12.792926,-13.299994,-13.001165,-13.437709,-12.875524,-13.307002,-13.451427,-13.490347,-13.099087,-12.983566,-13.185945,-12.901326,-13.178092,-12.990519,-13.41826,-13.136724,-13.24452,-12.78629,-13.355374,-13.37251,-13.302562,-13.266488,-13.669433,-14.052539,-13.857739,-13.552242,-13.361202,-13.850008,-13.482839,-13.224343,-14.401749,-13.728282,-13.285641,-14.090467,-14.748752,-13.995371,-13.624995,-14.643674,-13.695728,-14.354448
1032.0,100003.0,4.200000016689301,71.21999681562184,4.265773364522985,5.661083674730673,7.50700016617775,0.0,-18.336767,-18.094263,-17.746328,-16.92887,-16.110138,-16.150677,-15.922751,-15.833333,-15.859973,-16.340347,-16.481998,-16.080454,-16.613361,-16.491302,-16.67574,-16.482677,-16.522703,-16.497913,-16.467972,-16.45813,-16.279545,-16.641386,-16.583504,-16.876102,-16.879128,-16.609303,-16.711304,-16.416254,-16.58264,-16.412363,-16.217232,-16.389929,-16.39206,-16.212343,-16.183847,-16.198929,-16.153723,-16.183977,-16.146122,-16.322466,-16.388643,-16.425924,-16.69462,-16.678926,-16.518759,-16.687605,-16.839434,-16.970453,-16.675625,-16.64608,-16.95333,-16.752008,-17.09598,-16.834604,-16.99675,-17.058174,-16.981186,-16.986647,-17.00766,-17.137362,-17.184502,-17.005554,-16.86033,-17.26155,-16.978361,-17.084324,-17.098652,-17.082434,-17.182693,-17.114416,-17.019842,-17.563251,-17.183144,-17.23719,-17.311148,-17.539251,-17.560177,-17.255232,-17.51345,-17.414684,-17.619143,-17.558409,-17.31059,-17.730742,-17.508236,-17.597034,-17.616041,-17.767654,-17.942905,-18.101044,-18.103363,-17.841898,-18.096819,-17.819542,-18.124695,-18.076931,-18.332636,-18.276531,-18.465775,-18.570087,-18.346193,-18.138891,-18.432716,-18.484629,-18.42848,-18.263828,-18.90594,-18.797346,-18.686428,-18.971643,-18.770979,-19.122498,-19.080612,-19.16981,-18.86051,-19.423893,-18.869072,-18.901173,-19.38787,-19.788849,-19.001667,-19.638157
1018.0,63.0,4.44999997675419,108.87999906033276,4.690245960028386,5.642793203549921,14.795000660419465,0.0,-14.932749,-16.340063,-15.376079,-15.103648,-14.563593,-14.810481,-15.052453,-14.83752,-12.863488,-14.190471,-14.546698,-13.580019,-13.545904,-13.570513,-12.874649,-12.479801,-12.104347,-12.478521,-12.369712,-12.405654,-11.683836,-11.861402,-11.66541,-11.584293,-11.589921,-11.467085,-11.55291,-11.536306,-11.936181,-12.034282,-12.087829,-12.039163,-12.264076,-12.077711,-12.025641,-11.946798,-11.856361,-11.888259,-12.256424,-12.498267,-12.583649,-12.619985,-12.367193,-12.53227,-12.887477,-12.277777,-12.470403,-12.456471,-12.882917,-12.85722,-13.182521,-12.846115,-12.873631,-13.055904,-12.926497,-13.086125,-13.138904,-13.270073,-13.731793,-13.074236,-13.679552,-13.615707,-13.258482,-13.5273075,-13.451402,-14.180154,-14.096075,-13.763978,-14.148586,-13.324786,-14.089782,-13.556035,-13.816526,-13.601963,-14.577331,-13.911918,-14.118897,-14.180852,-14.508203,-15.846035,-14.163862,-14.744387,-14.620698,-14.603968,-14.842741,-15.09364,-14.870754,-15.010631,-14.963261,-15.6194935,-15.133653,-14.546527,-15.106112,-14.95857,-15.193144,-15.524166,-15.389942,-15.787255,-15.653967,-15.699308,-16.199055,-16.672235,-16.401327,-16.025928,-15.727381,-15.952453,-16.162928,-16.208874,-16.565248,-16.265347,-16.552364,-16.237694,-16.52321,-16.144497,-17.187243,-16.089937,-16.673927,-16.795433,-16.167362,-17.391136,-16.41427,-16.277884
1091.0,100184.0,3.780000003501773,96.27999830931424,4.567260377738771,5.918893847480667,14.929999794960024,0.0,-22.268835,-22.91253,-22.816729,-22.329319,-21.677345,-20.985474,-21.15897,-20.688911,-20.376575,-20.357553,-20.442904,-20.376965,-20.462814,-20.087784,-20.526854,-20.47945,-20.425898,-20.513212,-20.413805,-19.764494,-19.627716,-19.769241,-19.504099,-19.814848,-19.655617,-19.849207,-19.640644,-19.926945,-20.095089,-20.264048,-20.33308,-20.141699,-20.09906,-20.224222,-19.9793,-20.039145,-19.880877,-20.01368,-20.274015,-19.945005,-19.992613,-20.014393,-20.256443,-20.163198,-20.453442,-20.218561,-20.15975,-20.334139,-20.350006,-20.08405,-20.220528,-20.17998,-20.076809,-20.399824,-20.190908,-20.06746,-20.126692,-20.408173,-20.35217,-20.343609,-20.293144,-20.267117,-20.020966,-20.278715,-20.044088,-20.179745,-20.209736,-19.860613,-20.064114,-20.041544,-20.052128,-19.931112,-19.761845,-19.981243,-20.055218,-19.8703,-20.301075,-19.979006,-20.209166,-20.232786,-20.23562,-20.167143,-20.331202,-20.252773,-20.247103,-20.194546,-19.99821,-20.217869,-20.402342,-20.39927,-20.290224,-20.179827,-20.144453,-20.661188,-20.340134,-20.52225,-20.701504,-20.700056,-20.897827,-20.944864,-20.73394,-20.818104,-20.733252,-20.759659,-20.911663,-20.998817,-21.171453,-21.131992,-21.30013,-20.811104,-21.29725,-21.340702,-21.579416,-21.347887,-21.607876,-21.107386,-21.574104,-21.637814,-21.37055,-21.487116,-21.410702,-21.696657
1024.0,100552.0,4.399999971687794,98.31999843090772,4.5882278392105915,6.329061190101095,6.956999717950821,0.0,-20.127356,-20.58877,-19.539711,-18.65506,-17.96524,-17.759373,-17.576109,-17.502806,-17.336798,-17.374247,-17.472738,-17.014143,-17.540758,-17.61097,-17.636852,-17.343681,-16.99385,-17.504993,-17.245016,-17.39175,-17.38526,-17.515583,-17.559486,-17.499086,-17.488617,-17.690393,-17.661037,-18.0814,-17.91393,-17.840117,-18.05227,-18.282139,-18.274706,-18.384026,-18.574642,-18.553427,-18.761875,-18.672638,-18.925621,-19.065632,-18.584072,-18.451859,-18.532373,-18.832415,-18.889267,-19.036657,-18.933783,-18.870989,-18.84607,-18.794239,-18.803606,-19.107304,-19.0959,-19.106514,-19.282053,-19.127058,-19.276691,-19.369652,-19.380621,-19.618351,-19.601755,-19.522291,-19.803135,-19.766684,-19.689562,-19.894197,-19.86604,-19.55074,-19.770262,-19.964382,-19.95055,-19.988651,-20.098211,-19.9825,-20.066578,-20.117554,-20.15562,-20.151815,-20.156511,-20.412111,-20.498657,-20.601233,-20.70742,-20.456505,-20.606916,-20.722713,-20.600471,-20.701576,-20.778297,-20.730848,-20.927654,-20.72426,-20.780022,-20.941607,-21.05427,-21.039621,-20.977016,-21.221458,-21.229952,-21.179317,-21.322035,-21.274057,-21.647682,-21.235413,-21.70518,-21.409971,-21.874966,-21.957933,-21.746506,-21.667013,-22.033854,-21.878242,-21.772326,-22.015425,-21.890535,-21.867746,-22.167658,-22.11346,-21.540651,-22.290548,-22.024866,-22.052893
1011.0,100220.0,4.6999999368190775,17.889999208971854,2.8842417769525963,5.568000944733407,11.588000493049623,0.0,-11.762094,-11.270923,-12.439896,-11.358154,-11.120208,-11.248281,-10.368994,-10.301122,-10.426356,-9.503537,-9.918507,-9.588136,-9.045042,-8.835474,-8.754718,-8.8041115,-9.142577,-8.740894,-8.863244,-8.531997,-8.596025,-8.920447,-8.717343,-8.754814,-8.787897,-8.88985,-8.903745,-9.0162945,-8.229819,-6.851482,-7.9558263,-8.213625,-7.531385,-7.325941,-7.210519,-6.6567636,-6.144297,-7.132202,-7.1421824,-7.4070673,-7.488962,-7.209927,-7.188652,-7.0931716,-7.5781436,-6.9711885,-8.062902,-7.6108565,-7.7250443,-7.454014,-7.285423,-6.3282695,-6.042759,-6.5542235,-6.425441,-6.3010507,-6.114418,-6.635335,-6.333754,-6.000002,-6.323128,-6.4067817,-6.784536,-6.8153915,-7.036061,-6.5746336,-7.309395,-7.115923,-6.70126,-7.161918,-7.3552237,-7.6052866,-7.4138026,-7.473567,-7.769873,-7.8683662,-7.6395907,-8.368483,-7.421193,-7.36635,-7.0751224,-7.5132837,-8.117178,-8.261848,-8.178086,-8.341131,-8.059019,-8.739661,-8.815028,-7.8808064,-7.919121,-8.506893,-8.84334,-7.9417734,-8.7338505,-9.7023115,-8.855945,-8.776377,-10.352546,-10.127657,-9.962924,-9.68485,-9.342674,-8.730642,-10.823764,-10.389433,-9.848298,-9.478934,-10.047954,-9.548779,-10.250428,-10.095803,-10.98979,-9.684424,-12.355468,-10.309418,-9.502559,-9.468058,-10.04117,-10.321233,-10.076015,-10.120911
1055.0,100166.0,3.8100000032782555,160.25999469339845,5.076797826146428,6.167516580855169,2.877999966740609,0.0,-21.496208,-21.108547,-22.53846,-22.59697,-21.97802,-21.516596,-21.417873,-21.041374,-20.934149,-20.53455,-21.18743,-20.426146,-20.056688,-19.886444,-19.710276,-19.847174,-19.790762,-20.061096,-20.0571,-19.275501,-19.007936,-19.310877,-19.495718,-18.86274,-18.99308,-18.633003,-18.503489,-18.444044,-18.425734,-18.601128,-18.262136,-18.369926,-17.918013,-18.206825,-18.243715,-18.197912,-18.281094,-18.178244,-18.312021,-18.678917,-18.678404,-18.743149,-18.439278,-18.96048,-19.024685,-18.977327,-19.052658,-19.026476,-19.250946,-18.778526,-18.90458,-18.77322,-18.93492,-18.86219,-18.783,-18.918482,-18.807596,-18.583609,-18.926481,-19.110283,-19.003664,-19.206177,-19.301182,-19.094095,-19.312138,-19.280262,-19.06092,-19.29969,-19.34197,-19.26764,-20.006327,-19.306892,-19.538914,-19.164577,-19.653145,-19.246878,-19.508615,-19.312277,-19.698668,-19.256897,-19.481949,-19.844025,-19.809032,-20.047241,-19.637346,-20.152813,-20.05717,-20.33581,-19.822403,-20.695091,-19.848032,-19.998167,-20.105093,-20.011692,-20.020178,-20.106726,-19.96124,-20.18661,-20.186708,-20.367252,-20.047106,-20.549414,-20.518599,-20.404129,-20.350124,-20.21354,-20.871662,-20.571503,-20.710798,-21.099077,-20.55447,-20.79209,-20.630756,-20.916018,-21.360064,-20.766663,-21.033218,-21.375696,-21.029161,-21.982405,-21.070942,-21.29546
1064.0,100135.0,4.189999989569187,204.8599973517656,5.322326466180607,5.488937681683011,9.485999737977982,0.0,-21.49046,-21.483793,-21.311253,-20.679861,-20.13424,-19.969091,-19.878002,-19.708628,-19.356476,-19.198,-19.358046,-19.09018,-19.233149,-18.973194,-18.75658,-18.736258,-18.538322,-18.503376,-18.343533,-18.181705,-18.169155,-18.208694,-18.41563,-18.214312,-18.245071,-18.185236,-18.272877,-18.102127,-17.94574,-18.026056,-18.308376,-18.273666,-18.16755,-18.19209,-18.290808,-18.4612,-18.638863,-19.063396,-18.924446,-19.107567,-19.172014,-19.454105,-19.504293,-19.62299,-19.916702,-19.666002,-19.595798,-19.902544,-19.662731,-19.958101,-19.687464,-19.821169,-19.818909,-19.887606,-19.88123,-20.109396,-19.987333,-20.083748,-20.212746,-20.154877,-20.06238,-19.816034,-20.305443,-19.868284,-19.68218,-20.262089,-19.812813,-20.663967,-20.461323,-20.458036,-20.799238,-21.164349,-20.71636,-20.915129,-20.80302,-20.915215,-20.809736,-21.307554,-20.920551,-21.099306,-21.372204,-21.184284,-20.990404,-21.462656,-22.098408,-22.193182,-21.76541,-21.341621,-21.916245,-21.418467,-21.889133,-21.467957,-21.985413,-21.750359,-22.167803,-22.462332,-21.789507,-21.645924,-22.048048,-22.087626,-22.175142,-22.46548,-21.985155,-23.174274,-22.654139,-22.83327,-23.053272,-23.370567,-23.178493,-23.586212,-23.282701,-23.885416,-22.91995,-23.108494,-23.67852,-23.99058,-23.754871,-24.308258,-23.899488,-24.359505,-24.689098,-24.415874
1006.0,100096.0,5.0299999833107005,128.13999277889727,4.853123604107553,6.831953589168666,7.30000025510788,0.0,-20.144384,-20.02146,-19.131584,-19.032145,-18.698505,-18.551287,-17.445864,-17.228367,-17.077341,-17.629667,-17.03183,-17.068886,-16.773617,-16.972376,-16.911495,-17.294817,-17.523008,-17.455753,-17.409525,-17.310268,-17.426697,-17.612448,-17.700417,-17.824635,-17.564972,-17.824177,-17.941856,-17.910154,-17.895803,-17.810162,-17.676392,-17.622404,-17.76627,-17.846645,-17.64272,-17.464659,-17.64401,-17.764715,-17.561388,-17.5113,-17.66147,-17.57347,-17.627636,-17.624205,-17.84612,-17.742754,-17.864569,-18.0584,-17.795881,-17.904211,-18.218561,-18.071709,-18.220745,-17.86623,-18.307339,-18.036627,-18.161144,-18.09351,-18.21646,-18.471586,-18.149817,-18.12407,-18.351534,-18.12115,-18.22175,-18.181025,-18.57355,-18.39736,-18.407455,-18.420664,-18.359152,-18.147623,-18.46344,-18.164082,-18.081354,-18.221312,-18.379454,-18.440016,-18.303606,-18.256598,-18.464622,-18.283592,-18.46433,-18.442343,-18.713877,-19.09735,-18.554764,-18.947607,-18.735413,-18.558424,-18.604998,-19.100592,-18.626398,-18.608187,-18.720407,-18.693882,-19.173433,-19.081459,-19.238123,-19.018856,-19.00033,-19.164074,-19.073273,-19.032108,-19.070124,-19.230375,-19.550674,-19.127596,-19.945969,-19.475637,-19.600729,-19.57187,-19.380203,-19.763168,-19.776354,-19.282406,-19.504963,-19.462183,-20.049438,-19.669338,-19.766962,-20.135077
