,SID,EID,Mag,Rjb,logRjb,logVS_30,H,FM,T0.000S,T0.010S,T0.020S,T0.022S,T0.025S,T0.029S,T0.030S,T0.032S,T0.035S,T0.036S,T0.040S,T0.042S,T0.044S,T0.045S,T0.046S,T0.048S,T0.050S,T0.055S,T0.060S,T0.065S,T0.067S,T0.070S,T0.075S,T0.080S,T0.085S,T0.090S,T0.095S,T0.100S,T0.110S,T0.120S,T0.130S,T0.133S,T0.140S,T0.150S,T0.160S,T0.170S,T0.180S,T0.190S,T0.200S,T0.220S,T0.240S,T0.250S,T0.260S,T0.280S,T0.290S,T0.300S,T0.320S,T0.340S,T0.350S,T0.360S,T0.380S,T0.400S,T0.420S,T0.440S,T0.450S,T0.460S,T0.480S,T0.500S,T0.550S,T0.600S,T0.650S,T0.667S,T0.700S,T0.750S,T0.800S,T0.850S,T0.900S,T0.950S,T1.000S,T1.100S,T1.200S,T1.300S,T1.400S,T1.500S,T1.600S,T1.700S,T1.800S,T1.900S,T2.000S,T2.200S,T2.400S,T2.500S,T2.600S,T2.800S,T3.000S,T3.200S,T3.400S,T3.500S,T3.600S,T3.800S,T4.000S,T4.200S,T4.400S,T4.600S,T4.800S,T5.000S,T5.500S,T6.000S,T6.500S,T7.000S,T7.500S,T8.000S,T8.500S,T9.000S,T9.500S,T10.000S,T11.000S,T12.000S,T13.000S,T14.000S,T15.000S,T20.000S
581.0,109.0,53.0,7.300000032252234,54.79999749644711,4.003690201086172,5.878939533236102,14.999999973419436,2.0000000364422417,0.030727987397066545,-0.12286699799899098,-0.12087094745693483,-0.12154796282031521,-0.12228600914375345,-0.1177244252410742,-0.11464877918685382,-0.1135135455180934,-0.11754485096044703,-0.11921123096005802,-0.12081568188929684,-0.12518004750521722,-0.1277913275942933,-0.12675989587858544,-0.12726125213687495,-0.12571291588970762,-0.12703979039792887,-0.1299499778291198,-0.11493772348371108,-0.10801717519534369,-0.11955359414595926,-0.12025660387680095,-0.12361038980461564,-0.12276727967537673,-0.13324099570965492,-0.15484668759790837,-0.15261826496011088,-0.14525286562372464,-0.12192632470548072,-0.12494424949078398,-0.15602241552262675,-0.15190784096079318,-0.13913507337566072,-0.1469202714238969,-0.15748979421072426,-0.13091107528170354,-0.14465592098097635,-0.15240649984292656,-0.15385270489986405,-0.1602795352671307,-0.18888117343364919,-0.19484014512344733,-0.20380236997502768,-0.2188132011763647,-0.22533077678026253,-0.2434544820711462,-0.26484495839089445,-0.27874011438914653,-0.31003505695844913,-0.35535738918708815,-0.36461779742960354,-0.3433320283812668,-0.35383647527217665,-0.3514505933755781,-0.33388838125224957,-0.36717913305496763,-0.4060388439918191,-0.4046551515025908,-0.3752892724990639,-0.48424176558562293,-0.3944119289455099,-0.3184502859849096,-0.28821304334482045,-0.2796086115971437,-0.3403374875252002,-0.34465684925442575,-0.29726495548373344,-0.2978932428480576,-0.3175301454156122,-0.28941132651743595,-0.2000149310530279,-0.206741953114692,-0.15553741339534044,-0.12925401742222223,-0.15371675718548575,-0.1610557081881017,-0.16218986495804974,-0.13849072902001536,-0.13075201256131896,-0.1606006861531408,-0.14113961948349968,-0.14497225417409743,-0.14086796736106016,-0.12895762168976346,-0.10292040953433401,-0.07651421122457293,-0.06154506025621553,-0.056046589352103486,-0.0502377729824992,-0.04248409029030425,-0.037005682849151504,-0.03151061324068727,-0.02676284287988038,-0.024255915375717325,-0.021925033913415697,-0.019756510211836324,-0.015446397100191852,-0.013101760369269584,-0.011093990318043177,-0.009601687999723059,-0.009458113533637551,-0.008415862238744588,-0.006810765829704643,-0.006635027524533739,-0.006224785090736994,-0.005089616944472322,-0.004263594422646693,-0.003285731392175327,-0.0026624614759173104,-0.002118791998449673,-0.001654114422598097,-0.000656254529792279
869.0,125.0,337.0,7.27999997267971,151.700001808503,5.021904912614001,5.85630324975523,7.000000103511512,-3.5768972006522404e-08,0.0029725717589817856,-0.032585523781946436,-0.032283808423120675,-0.03194493899057648,-0.03241931351577817,-0.032090639573757664,-0.03180420788667162,-0.03170332406923126,-0.03188737490073829,-0.03187698102832409,-0.03216409708376586,-0.03154646987755199,-0.03150620990384869,-0.031788560033271254,-0.0324928740903116,-0.03264139621689632,-0.03278677997600046,-0.03319307678249675,-0.03258252151641628,-0.03295102832866777,-0.03392256669015703,-0.03482511483583722,-0.034188662348910534,-0.03371587213562115,-0.033625879260204314,-0.03421249045286637,-0.034571423336090874,-0.0365205343729526,-0.04155787993431191,-0.04352590834344573,-0.05137003160006667,-0.054366291759155645,-0.05502823504952064,-0.058355871588506164,-0.06169987424812179,-0.07261588970128162,-0.0831444380791237,-0.09670371930783003,-0.10309320196870073,-0.10641059608404702,-0.11835766530097436,-0.10968372630145004,-0.10621923357255694,-0.13245222879573798,-0.1286387797597887,-0.1275627313900755,-0.13998518078102293,-0.11785770241066366,-0.11687550726236454,-0.1140390330115918,-0.10965953684960458,-0.10579812336095093,-0.09470725655081286,-0.09497309387644236,-0.10124350528019116,-0.1038818621235532,-0.09405864628171941,-0.08509499944019445,-0.08052512011876739,-0.0725497381289355,-0.07193170927874501,-0.06948658718300549,-0.06520395378341019,-0.06669875341930696,-0.05366923568622718,-0.04914658279669041,-0.046097319288129504,-0.04510837381202792,-0.047326887771015895,-0.04345544321020579,-0.037530927232558624,-0.03910138038830997,-0.03373165548965667,-0.03090520849321698,-0.03631533992797363,-0.038870082061638535,-0.03540040960543063,-0.03363357798635427,-0.031032473986094218,-0.024826307494643252,-0.025094011143123877,-0.023463011702998044,-0.02212364152274734,-0.02213122037698822,-0.020076393258009365,-0.01660594850517727,-0.01607782446245835,-0.016116885381850157,-0.017346358922757776,-0.01851086132198763,-0.02009314961094697,-0.020498807676834496,-0.018795867728425817,-0.015920649268201883,-0.01353983670872166,-0.012698590719397974,-0.010949616471933002,-0.011116830880505347,-0.009502214691586661,-0.00907602346243786,-0.010615882328127484,-0.012646233891175477,-0.013507481325975807,-0.013425282465823021,-0.012909135614686467,-0.012293410939843527,-0.010583305113783656,-0.008697396523059243,-0.007058311100418336,-0.005862625962494141,-0.004849903440216025,-0.0021005815278328874
881.0,125.0,222.0,7.27999997267971,26.83999786196327,3.289893330813679,5.8425874387590255,7.000000103511512,-3.5768972006522404e-08,0.06306271653465709,-0.12127420624027446,-0.1249325085464057,-0.12626096665990832,-0.0945495400365059,-0.11356721761537,-0.12559596714572618,-0.10712197351605221,-0.11768893851877857,-0.11662005634388203,-0.0992629979486378,-0.11429896085908849,-0.1077276747581749,-0.11256132800434497,-0.1158906593281024,-0.12084348115352142,-0.122460122993204,-0.08770168379829488,-0.0989866169756548,-0.08691955002653054,-0.08223469618951076,-0.06714921225473794,-0.05761834873269084,-0.06973154434574474,-0.06311273627913525,-0.041642842813926884,-0.04458752421271869,-0.06298297518320745,-0.06546567738773629,-0.1327075997020065,-0.14304163374015805,-0.15320558894313052,-0.1767665190895138,-0.16154582827549224,-0.16526646299470282,-0.2167346755256877,-0.23691814965118457,-0.22200241555902542,-0.26264072260991245,-0.2871417333385174,-0.2505108821940035,-0.2515242102722981,-0.24920376040362224,-0.23476148831549443,-0.29180345402473085,-0.2903970876883269,-0.26053630611622186,-0.2875599172791566,-0.2952895935983772,-0.27637514426252435,-0.3298859080974058,-0.3749964973483717,-0.3744846587974989,-0.3338100269229282,-0.34554967662649455,-0.3726609172437697,-0.39801096659190605,-0.46129806022538006,-0.6496510119669602,-0.7208199695837404,-0.6416525983948589,-0.5940927546138782,-0.4847126429602088,-0.3755345222782605,-0.26836959530533655,-0.24904349658041072,-0.23672462647060666,-0.19531018064171032,-0.1719559610067496,-0.18142475240239114,-0.19898752333221534,-0.1827567062068047,-0.19336816100923762,-0.2331084104733377,-0.2685512148489156,-0.24303579570247955,-0.2421367754663157,-0.19902809160634205,-0.14571276187833812,-0.09941183662327728,-0.07178037220365051,-0.0631995107931025,-0.05727706698687597,-0.04525727705730238,-0.03752627103333781,-0.0253864268889682,-0.020828748987626152,-0.01812593325099074,-0.017419149319089215,-0.01746469659828586,-0.01884369492343426,-0.017934438426158536,-0.014304834174934736,-0.01057426230760495,-0.00811682479938049,-0.006942876965523707,-0.00890719109560665,-0.007756070347507849,-0.004824297498397934,-0.004130274353541943,-0.004198065176985905,-0.0034183159924346604,-0.0030490837909229653,-0.0028626111839956904,-0.0017779126739808334,-0.0008673840751301058,-0.0011304959617592023,-0.002066462982257991,-0.0022005424993354773,-0.001979705611399726,-0.0015082937357355263,-6.724357546956917e-05
902.0,126.0,1291.0,6.4600000217957065,111.26999985981746,4.711959679085088,5.915123308467034,12.99999995009691,-3.5768972006522404e-08,0.0026705291175588616,-0.20127992789299332,-0.2025333716180823,-0.20385776109028944,-0.20254949661325733,-0.20498963042900656,-0.20635323190495392,-0.20709267379466173,-0.2026772407199191,-0.2030549879806478,-0.2041598098589865,-0.20495961707091157,-0.2045198127615139,-0.2044460496516173,-0.20489200539634225,-0.2091641479070512,-0.20988226305716973,-0.2101708175573036,-0.20595152277690143,-0.21802256118025556,-0.22025597769270416,-0.21851882371332648,-0.23172572227005447,-0.23979398160491333,-0.26078876045650085,-0.28060507680094265,-0.2877788844108366,-0.2691490537440842,-0.30572029841898,-0.3343291602868689,-0.3899741272046467,-0.3863335934067511,-0.35424335415558394,-0.38228478390199055,-0.36026643943067543,-0.3939869142879111,-0.39712262441460255,-0.40100098247781607,-0.44434772168598186,-0.3872893397412569,-0.3823404953635218,-0.3927913683269645,-0.431549248443279,-0.47645433445376284,-0.4337884294043733,-0.46323926975078394,-0.4869710329737823,-0.549646138225624,-0.5502933763481274,-0.5526259473400553,-0.5032916073874947,-0.5874023515501707,-0.6751747345787165,-0.6280956951118671,-0.6071521196847234,-0.5579633730508476,-0.4656863009680508,-0.4033859085666714,-0.3911147228230002,-0.43928721144040433,-0.43132311530079886,-0.40100159051657636,-0.3341260489047333,-0.290933805659723,-0.3051698364074271,-0.3379510409906282,-0.31777267412340243,-0.35132212425614817,-0.3487136907591611,-0.24675721702625752,-0.2312889084873947,-0.2027313119122385,-0.1552804600845496,-0.11489027485385728,-0.098247868587213,-0.08568482662385088,-0.07524727441834483,-0.07185477902539696,-0.06643309995788103,-0.05067236661931243,-0.038999836534635804,-0.038586691556732514,-0.03664080729057103,-0.028568541922730947,-0.025612848205473798,-0.020719518995217862,-0.01667480400172853,-0.016383640302338694,-0.015592986140423554,-0.013660339780960087,-0.01164711379803251,-0.009698126503701486,-0.0079494660378633,-0.006781593043822169,-0.0057846440884330805,-0.0050841351069724015,-0.0037995981126727318,-0.0029502684781224763,-0.0024002478716231334,-0.0020285852336722815,-0.0017602080531539293,-0.0015554228039313359,-0.0013871026783359918,-0.0012432599116114738,-0.0011175525557258288,-0.0010066920953121239,-0.0008237583215986986,-0.0006821926803534227,-0.0005736284684990836,-0.0004971444233888393,-0.00043387390009997414,-0.00024364540972437
1146.0,136.0,597.0,7.510000017069298,68.08999912825519,4.220830357926273,5.164785986873949,16.000000208462872,-3.5768972006522404e-08,0.008535011630039334,-0.0054571051686263215,-0.004157886910083123,-0.003624969264168512,-0.004268670695973642,-0.0035825386411019403,-0.003206019685005758,-0.00272661470972624,-0.004549725113340241,-0.004795228256783897,-0.003677813320770301,-0.0041090723662666195,-0.003398960811927287,-0.0031168044840316957,-0.002896217979168095,-0.0018270236002837347,-0.001192033623262985,-0.001166028667913769,0.004763967298388291,0.004727750414170407,0.004114885646104495,0.002956075634792995,0.0018086259862369579,0.0003548529632157512,-0.0013620945521546357,-0.001466518871793717,-0.001453837700712961,-0.0008280723412503865,0.0011089524911527433,-0.0016393855596825869,0.0007896421416568721,0.002872967093303931,0.00491157425697154,0.006913772397735975,0.004371407707168528,0.0017209146681219836,-0.00021390478044451197,-0.00011301030693344413,0.00016225970082556912,-0.000546947408349395,-0.0012515849599656383,-0.005602364247605046,-0.00929713756048115,-0.011652495112038112,-0.011939591996779514,-0.013492693292433529,-0.01591724373506135,-0.01684123359040289,-0.01671486819252875,-0.015138391465098908,-0.015024402334513534,-0.01210971004630004,-0.011080855990210053,-0.010670487991496579,-0.01112231389200314,-0.012659114793786348,-0.015409072433611278,-0.016933194248323864,-0.024343199609905518,-0.026087255819031163,-0.027063914024342103,-0.027690849458490024,-0.03139297834618953,-0.030051907804026473,-0.03491132661024411,-0.03933922384067574,-0.044085644045743194,-0.044946750699117397,-0.05349235772688285,-0.04978042384735183,-0.044564646281117934,-0.039252645863628276,-0.026131011543987826,-0.022345108062356463,-0.01495221752022068,-0.011870648034520271,-0.009431380847856548,-0.007428670305663194,-0.007050679533289066,-0.008299619216279802,-0.00898216972963726,-0.00842473138953951,-0.008741284588453758,-0.007093243478307301,-0.008764057478199486,-0.010251312898770133,-0.011527641797008714,-0.0129713436240636,-0.01415516641079088,-0.014552517842260013,-0.012109168239634283,-0.009750600502098186,-0.007944019477719735,-0.006743083159117414,-0.006060553491927382,-0.005880853626111336,-0.006183814697825487,-0.00586749944360375,-0.005076152146581857,-0.0037216482257986967,-0.0027183969102473914,-0.0018672678755637445,-0.0011951559933483838,-0.0007901504131050732,-0.0006136803647304714,-0.0005609519671392448,-0.0006717997999510128,-0.0005815111100831857,-0.0004079359495961015,-0.0002490294864090209,-0.00013211272939015367,3.880299981478736e-05
1153.0,136.0,619.0,7.510000017069298,65.53000144298025,4.182508054537532,6.418005984496821,16.000000208462872,-3.5768972006522404e-08,0.0029448785689621753,-0.08975795058531395,-0.09003196160346029,-0.09034594883477781,-0.09096750891010383,-0.0919123838920723,-0.09213212994786311,-0.09238293007230083,-0.09279294772532068,-0.0926469166961779,-0.09258226672969787,-0.09204626944270067,-0.09186609899319574,-0.0923542506823199,-0.09241237068759169,-0.09181378683445286,-0.0918401215005027,-0.0947238480530643,-0.0980342557565797,-0.09874436813729748,-0.10048297153432992,-0.10561360786491163,-0.1118606791277108,-0.1177531368379536,-0.1273393766263538,-0.14330743088109832,-0.16779762340730084,-0.19232080188982031,-0.2011762789129184,-0.17944515106477366,-0.17478814687972308,-0.16633985394635148,-0.18345399821697678,-0.20358771410322593,-0.18279749968655667,-0.18815209235659427,-0.19982672106058283,-0.19963450470724897,-0.17494395838781152,-0.1407402114348987,-0.15367015325692873,-0.18039320568191614,-0.1907430851539929,-0.1581564573765381,-0.15286614922171393,-0.15257027528771672,-0.18019868489446703,-0.1670042971149593,-0.17295454890785594,-0.1747869658018505,-0.20313158160943012,-0.20664421933351756,-0.21124250352895543,-0.20699305079136993,-0.20347813775568863,-0.19992430789689614,-0.19479673908193937,-0.2092539319133192,-0.20579485648062185,-0.1609306025775595,-0.1144112663819251,-0.10385610698745841,-0.09003751134628257,-0.09966058982988012,-0.11060240716589219,-0.11451448705921323,-0.10567650296598383,-0.10728245293796493,-0.10954451948294483,-0.11395917252585422,-0.10220394062104758,-0.08362758371203254,-0.06181090299719015,-0.05382923796300287,-0.04776532609629542,-0.049885123020111735,-0.051607107204301395,-0.050573216616980436,-0.05010788886956293,-0.0506682536966254,-0.04904712357292593,-0.046392870668244074,-0.04403578350137666,-0.03864986260479734,-0.03416853195250012,-0.03074268486287862,-0.027247916599777756,-0.025356091406798727,-0.023580826128779146,-0.02136756316020133,-0.019234204799669988,-0.0177707486383988,-0.016606587173375886,-0.015545288396327126,-0.014303587108550021,-0.013042333968921994,-0.011764893943670984,-0.011017468830541903,-0.011284553157733414,-0.010089784102518767,-0.009120348804900695,-0.008755926268788128,-0.008373101138658544,-0.007880770033106955,-0.007996866086075088,-0.00806429443100039,-0.007919684917904266,-0.00760185313787793,-0.006753492035873845,-0.00590023445072123,-0.005250774069084017,-0.0027847689253204114
1200.0,137.0,651.0,7.619999988776826,14.819995445925372,2.6959776229292958,5.9368763604426364,7.9999998917906,3.000000034184505,0.06609969124937748,0.0026076459107600217,0.005980873716344884,-0.0012620472322899673,0.004217960078694849,0.009027927842817515,0.00349646315963828,0.010651893044002922,0.01960328147473976,0.015602507054155237,0.004605286830983421,0.0007225401065110298,0.005235275865455052,0.009140547157576617,0.008792323196496532,0.005461835977677659,0.011734285359712479,0.010760646766460102,0.0007756128316274286,0.009901214569947234,0.01696471011188086,0.02736941916570723,0.01269169622712267,-0.004973361734371823,-0.0009171544140336441,0.022943580639746455,0.0376817807952691,0.047466304521004005,0.03837064388245909,-0.010670657240417408,-0.03827272264895308,-0.05365608938502142,-0.01311386839308086,0.0161539085672405,0.019460804462060846,0.013288451554941391,0.006301383627227902,-0.012452010222812171,-0.030643872194259514,-0.027281921178974003,-0.08736325403776612,-0.10972038275509757,-0.10239290998044862,-0.07035813725105153,-0.05343767851146272,-0.045649111937088455,-0.034898497254654826,-0.042160150307048075,-0.045677307852781665,-0.038486171349127504,-0.035429038572631244,-0.040212030407310986,-0.04464583974493498,-0.05284142378004428,-0.05362364406738311,-0.04962124661997244,-0.029688416860523564,-0.026542313597608988,-0.05789873367292364,-0.09698325551334824,-0.10795263658098234,-0.10629311838087117,-0.08873225143020748,-0.07024285288028978,-0.07533702941607624,-0.09437309628603922,-0.06908009692863565,-0.053174118285219854,-0.06653172518589442,-0.09810784890188771,-0.09452989385118506,-0.08905211069002235,-0.08284168802383139,-0.07088908404975569,-0.078133631483177,-0.08303337448204602,-0.11605097051441828,-0.13158811442037155,-0.12400947498794165,-0.08368902884932572,-0.07848689913826867,-0.07644992250213765,-0.07057801164151002,-0.08152886916931966,-0.07838565320248024,-0.08255151618946933,-0.0712375598525677,-0.07984157752655777,-0.07650236943690013,-0.061520366679622754,-0.06219346139730886,-0.05334005081001363,-0.04705791307270128,-0.04707046906048327,-0.04078477142891212,-0.036095644859209436,-0.03950420570926577,-0.042583326754467354,-0.037359668195380606,-0.042013391727078825,-0.04491741698973639,-0.0352892604705257,-0.025473383604025502,-0.0215880558063146,-0.019864790950930192,-0.017290123947494632,-0.010335655844489346,-0.005694833600531056,-0.003360170133880698,-0.0027299947290053807,-0.0023919289406981476,-0.0012251001862973224
1217.0,137.0,668.0,7.619999988776826,57.500000034323705,4.051784954835124,6.289140261605363,7.9999998917906,3.000000034184505,0.007320024370719052,-0.038268577270212406,-0.0374188038885633,-0.0380812837668284,-0.03963424825641708,-0.03954268157305929,-0.03932040295016659,-0.03867584255761176,-0.037402856899889425,-0.03755900884888631,-0.03660048669029608,-0.035397935087250844,-0.03447011920074626,-0.034365930965118155,-0.03453685130190148,-0.035015323167591456,-0.035033022969069044,-0.03670061933623911,-0.03831046226092464,-0.03716053649913317,-0.036809772323938866,-0.036568787693119484,-0.036117450961345665,-0.03589158578620503,-0.0366603576272606,-0.038883999368209285,-0.04614949693825815,-0.04882490361416271,-0.050823613064411834,-0.05804397998854668,-0.06377349741092794,-0.06701016411862064,-0.0716636617333195,-0.07191588553346553,-0.08025382010235262,-0.08608725378758007,-0.09193043157171496,-0.10499407013058179,-0.10884791784458002,-0.09314480353049646,-0.107974517608708,-0.1029448099355602,-0.09046414193224539,-0.08481339747198127,-0.09837189870870536,-0.1049096893171217,-0.08525735512194901,-0.08268118910124957,-0.08619041060110728,-0.08273302812601807,-0.0962395564253411,-0.09729105575532941,-0.09299894223415303,-0.09091484582449869,-0.09018890357469085,-0.09232281522486113,-0.09252093417547277,-0.08241105651559873,-0.09877183575658613,-0.1007865275687447,-0.0887667084163837,-0.09882978125148545,-0.10176632139014002,-0.10140817491091106,-0.10425365720696272,-0.10589056932435027,-0.10418609557519418,-0.11490107667424397,-0.10098910155872678,-0.09211495547817848,-0.09583525673947889,-0.09363355174987338,-0.08311974875865964,-0.09592645166768375,-0.11666005927792843,-0.10679014870096747,-0.08903851499183801,-0.08118349344794404,-0.08670417251425007,-0.07713354843311475,-0.0637653763865091,-0.06454865447992025,-0.06186766460879812,-0.06688997014893694,-0.05829777462985228,-0.06779900304591976,-0.07749541272244058,-0.07814509501680653,-0.07386735024461968,-0.06731939242698941,-0.06142529412436361,-0.06085740359682559,-0.052684233183577546,-0.05258681489113896,-0.053221413333540024,-0.05236208219540054,-0.04516422557002003,-0.03452176506928831,-0.02869159534826176,-0.029058209323763247,-0.02471334103026153,-0.02131719013479507,-0.01994968463454202,-0.02136849497767777,-0.02067912410437822,-0.015621976045662409,-0.009067283807141564,-0.0067041758550593815,-0.00616918454322538,-0.004695871159563685,-0.0037118694889205386,-0.0022596763441727536
1268.0,137.0,748.0,7.619999988776826,51.86999976195084,3.9487405793041073,6.204194056023036,7.9999998917906,3.000000034184505,0.008843551264133009,-0.07171069851045672,-0.0710098172591048,-0.07179361950338142,-0.0720988136366356,-0.07232780624584208,-0.07206295723355516,-0.07274614030026497,-0.07193417325932859,-0.07103602264784481,-0.07207857224160956,-0.07371947045701803,-0.07327738158906955,-0.07320992469020642,-0.07226026612810207,-0.07240841786215858,-0.07295700947735614,-0.07429818523979832,-0.07709214027469112,-0.080202499143686,-0.08258172684490592,-0.08209663497063407,-0.07716529360162713,-0.08275908672013761,-0.08938223485742856,-0.09203305950161715,-0.09135764194732407,-0.09485328704260301,-0.09400408951951271,-0.10911621463173242,-0.11194880872496271,-0.12092493619063824,-0.1287538361167455,-0.13885745758678314,-0.14219760772493203,-0.13449856438365876,-0.13548342820264786,-0.15787118073082992,-0.14915000960809846,-0.13835344779308262,-0.13809681632137366,-0.15982631586921697,-0.16499882502168906,-0.15019998855991898,-0.14761634093416298,-0.13376481419511363,-0.1329874379602578,-0.13913481186419963,-0.14051996905408437,-0.13826360847921143,-0.12827152815466392,-0.13267264188671235,-0.14972220664722904,-0.1451437885519453,-0.14620559628063823,-0.15065616950872995,-0.15077019400723968,-0.15487764822020278,-0.19403212412377802,-0.21225107899935064,-0.21076875665379147,-0.21133909233121262,-0.19832837025591282,-0.1715109658438366,-0.14013813547049342,-0.11862329776476549,-0.12224336853939417,-0.13274257362804587,-0.11286917392050669,-0.11335098235426279,-0.11083286255911991,-0.08347246129430896,-0.08537504647723475,-0.06852900493537678,-0.0680507008783587,-0.06593326268053333,-0.06448177479627284,-0.06411196613358731,-0.05911208576026638,-0.05112009396249322,-0.04436297269888881,-0.038090572419587576,-0.03497132832923115,-0.028678379616278067,-0.024617929207772137,-0.02279030354818056,-0.02306188438736588,-0.02313751271288006,-0.02245658228226924,-0.020155144465120785,-0.01684138041511045,-0.013253749065386471,-0.011611078780575214,-0.011654848312882892,-0.012204249670399592,-0.012339222194438058,-0.011619150087994608,-0.009423472919916482,-0.00970721261446696,-0.009832766933390361,-0.009014717649575813,-0.008224175064496984,-0.006761104781859698,-0.005407283096638321,-0.00499357302801382,-0.0046563208304978825,-0.004177979861053217,-0.0039808089301043015,-0.0039430637181443375,-0.003900068813160437,-0.004014119497016028,-0.0033105346835190863
1275.0,137.0,755.0,7.619999988776826,47.58000239120648,3.862412511638744,6.081762183600409,7.9999998917906,3.000000034184505,0.012002887816575557,-0.046223568506792725,-0.04636821414715613,-0.047763934508684394,-0.045782324644601094,-0.04965701070607953,-0.048942854679598795,-0.045174439196680995,-0.04474315087602627,-0.044572336133896426,-0.04457364476866132,-0.043152445529945106,-0.04489684973232301,-0.046365195580569646,-0.0476251156714048,-0.04904890498851083,-0.04833714602489908,-0.04142481943920865,-0.0420028469761078,-0.04554360369255349,-0.047496028176848594,-0.048007633489382945,-0.038957062209794,-0.046867891300243596,-0.05732717596102026,-0.055515667164888816,-0.04868374620549384,-0.05144707007150284,-0.05151765661758487,-0.06253269646905629,-0.07727356353513942,-0.082408336657536,-0.08719598448522511,-0.10857883469753897,-0.12392989427072237,-0.1098524782255217,-0.12645167694265175,-0.131581185645988,-0.12490440823494685,-0.14999155420815619,-0.13757455831304605,-0.15979204447631082,-0.18785819502864826,-0.16253161490330925,-0.18108104746174145,-0.19597511203945897,-0.1826323856070466,-0.13326001967820944,-0.13509723927525139,-0.13470152918216852,-0.12545114935392512,-0.12375631680944724,-0.13343695866056354,-0.13266621058089517,-0.1283107831539477,-0.12386345684414476,-0.12563493838918188,-0.15185114003938968,-0.17097142592366726,-0.1729281683369549,-0.16528414311081618,-0.16892103474480136,-0.1707543968906548,-0.15312916211686525,-0.14278927414675946,-0.16455999136329136,-0.1690354263134833,-0.1583764507593266,-0.14237995404461196,-0.10500204401007465,-0.07895024493278843,-0.0636923444912438,-0.05652910622418332,-0.05400597741087941,-0.04329212854102677,-0.04226233518923951,-0.04299847715873428,-0.04012680561586967,-0.0353672141697618,-0.025501203073158372,-0.024335107945314738,-0.0244694584722142,-0.025806060208367468,-0.0241468466464759,-0.02166665611761339,-0.02086039618690055,-0.019690277890013104,-0.018101516617086304,-0.01580729405084108,-0.013941578398787369,-0.01207582706516596,-0.011811633742127353,-0.011754808753184466,-0.011368280345187526,-0.010670031460894425,-0.010239159943654139,-0.007698685524790359,-0.006994018885552887,-0.007960319506262145,-0.009096423828885649,-0.009676189766695747,-0.00972974743004293,-0.009279589831196325,-0.008383032169881979,-0.007965264829612661,-0.0074819258939601355,-0.006237480488406717,-0.0055322330897715774,-0.00505299397245363,-0.004750661004898628,-0.0044770515961478595,-0.003001192456061296
