Aleatory Uncertainty,Epistemic Uncertainty
0.9617435,1.0063528
0.9700556,1.0353014
0.9644475,1.0054297
0.96377534,1.0094701
0.95169455,0.97714514
0.9505189,1.0160284
0.966896,1.0183551
0.95324254,0.9981156
0.9545712,1.0133599
0.95968497,1.0034417
0.9493376,1.0061609
0.9461119,0.9940114
0.9437908,1.001069
0.94408005,0.98253375
0.94379675,0.98817265
0.9498069,1.0072204
0.9506043,0.9942175
0.94646996,0.9731387
0.95138663,1.0201389
0.95682895,1.019375
0.96625733,1.0243986
0.96279424,0.984334
0.96337986,1.0052291
0.95556563,0.9884443
0.95834756,1.01058
0.95774984,0.9970034
0.9651201,0.99564564
0.97062254,1.0174196
0.9700345,1.0147929
0.9641994,1.0088177
0.96968013,1.0042005
0.96513855,0.99804544
0.96142983,1.0142635
0.9650073,1.0212425
0.9699581,1.016739
0.97077435,1.0177591
0.9578796,1.0003077
0.95944214,1.0137662
0.9664055,1.0421017
0.96731997,1.048839
0.97035086,1.0205342
0.96613204,1.0079744
0.97314024,1.0000097
0.9710496,1.0206783
0.9733209,1.0257614
0.96924275,1.0013577
0.9614607,1.0373945
0.96341497,1.0143193
0.9659809,1.019842
0.9733479,1.0352724
0.9768936,1.0398319
0.9697681,1.0366161
0.9675727,1.0263602
0.9787615,1.0310283
0.9775094,1.055704
0.9819701,1.0300198
0.9771207,1.0298519
0.98301625,1.0360967
0.9842517,1.0060979
0.97557586,1.0206462
0.9788991,1.0195962
0.9794688,1.0451628
0.97032934,1.0009621
0.97722363,1.0194043
0.9705902,1.0204549
0.97520334,1.0472153
0.9794037,1.0486324
0.9715113,1.0300738
0.9672103,1.0367273
0.9712859,1.0273193
0.9658916,1.0250374
0.97380215,1.0363663
0.97620463,1.0469526
0.9682505,1.0316464
0.96808237,1.0238389
0.9665088,1.0220906
0.97065413,1.0236893
0.9663868,1.0087234
0.973251,1.0148066
0.9731589,1.0223581
0.9649741,1.0175537
0.96877825,1.012707
0.9695236,1.0382161
0.9745802,1.0265957
0.9672501,1.0575942
0.9666444,1.0135831
0.9687807,1.0290684
0.97416884,1.0345889
0.97353476,1.0093044
0.9714233,1.0333141
0.9727221,1.0041615
0.9678524,1.0371112
0.9654706,0.98527616
0.97322345,1.0479081
0.9695225,1.0361857
0.96361804,1.0220639
0.97091085,1.0374955
0.97355276,1.0063009
0.9683062,1.0128974
0.9731357,1.0125883
0.96682197,1.0225637
0.96673584,1.0213953
0.9657604,1.020149
0.9566017,1.0191225
0.95760703,0.9899634
0.9667989,1.0309042
0.9619837,1.0163813
0.96036446,1.0057877
0.9585171,1.000028
0.96075094,1.0046537
0.96372575,1.0154049
0.9644453,1.028188
0.9626964,1.007994
0.9614924,1.0087196
0.96299994,1.0126842
0.95592445,1.0226982
0.95582813,1.0258937
0.9573412,0.97699225
0.9570366,0.9943584
0.95764613,1.0070226
0.9502644,1.0093069
0.96003824,0.98375064
0.94780475,1.0073082
0.9475678,1.0014787
0.95404804,0.9771125
0.9375735,1.0070784
0.9514259,1.009658
0.95383215,1.0099527
0.95149946,0.9938486
0.9439586,0.9840663
0.9444708,0.9819174
0.954205,0.99333674
0.9397886,0.9751636
0.9407557,0.9911285
0.9465906,0.9600587
0.9436217,1.0054787
0.9362041,1.0038719
0.9366075,0.9924061
0.9395742,0.99118304
0.9382841,0.98831147
0.93283516,0.97129273
0.94312876,0.9810108
0.940063,0.97751
0.9306341,0.96655923
0.9345213,0.98390865
0.9275546,0.99535424
0.93435925,0.9594919
0.9285167,0.9932541
0.9309465,1.0084267
0.93094856,0.971227
0.9249433,0.9828705
0.93065584,0.98092294
0.92521155,0.9837319
0.91890025,0.9674875
0.9212464,0.9421258
0.92425966,0.9511538
0.914818,0.9572869
0.91525763,0.96422696
0.9164717,0.977725
0.92288786,0.964771
0.9217091,0.9551786
0.9171256,0.9561565
0.91650236,0.97710186
0.9257682,0.9717935
0.9081994,0.9549721
0.90298206,0.96143293
0.90001464,0.9655284
0.9055119,0.94915605
0.91395843,0.9448606
0.9004235,0.94883764
0.9107755,0.9663201
0.9128095,0.97894555
0.9021697,0.9405636
0.9063899,0.94879895
0.91295594,0.96506363
0.9055468,0.94582534
0.8978622,0.9782905
0.90091515,0.9573444
0.910699,0.9485571
0.9122636,0.91490394
0.9007001,0.9460353
0.90473294,0.94221777
0.9055967,0.93559194
0.89733917,0.9553804
0.8868082,0.94744945
0.8940399,0.9323166
0.89461637,0.9253018
0.90486395,0.9368374
0.8901495,0.93398553
0.89032364,0.9183245
0.8860424,0.9203909
0.8861108,0.93532133
0.88484687,0.9235589
0.8936192,0.9475495
0.88056344,0.927446
0.8896208,0.90949327
0.8801363,0.9174918
0.8826468,0.91580975
0.8800909,0.91930443
0.87707996,0.922545
0.8773608,0.9016008
0.8613261,0.88933504
0.88326836,0.8979068
0.86851245,0.90970975
0.8808502,0.9167264
0.8882365,0.92668587
0.8715106,0.9352731
0.8790698,0.9201115
0.87684983,0.94331837
0.8768779,0.920203
0.8612396,0.9150757
0.8780548,0.90442604
0.86061484,0.8946442
0.8635895,0.9446884
0.86077684,0.89122427
0.8627935,0.9083287
0.8623863,0.9114249
0.8595617,0.9213659
0.85167867,0.8887882
0.86097544,0.927495
0.8596015,0.8973893
0.8498427,0.9057976
0.8505724,0.9110827
