Aleatory Uncertainty,Epistemic Uncertainty
0.8322045,0.8670878
0.8246301,0.8838278
0.8200909,0.8710916
0.8163988,0.8693791
0.81325144,0.8719627
0.8176439,0.83758074
0.8095895,0.8560311
0.805647,0.84332514
0.8080749,0.834623
0.8082336,0.8515398
0.8062132,0.85166454
0.8046103,0.83261555
0.8009581,0.84446794
0.79127777,0.8215906
0.7791476,0.8298599
0.77744913,0.8119532
0.78416395,0.8376906
0.7745427,0.78260523
0.7668004,0.7942759
0.7704363,0.79758406
0.76548094,0.81598824
0.76840746,0.7966879
0.7561694,0.7937241
0.7545405,0.7697974
0.7572828,0.8018723
0.745737,0.77006435
0.7446612,0.7822341
0.73977214,0.7799791
0.74490494,0.75014216
0.73639774,0.7636181
0.73671734,0.76763856
0.7427363,0.7751941
0.7382239,0.7980929
0.7325431,0.7890271
0.7289988,0.7900852
0.72528315,0.7574933
0.7256961,0.7598349
0.7242111,0.7515629
0.7266392,0.77068824
0.7212023,0.7559956
0.71843106,0.7537733
0.72012216,0.7451772
0.7195245,0.75807786
0.7219254,0.7681301
0.7193776,0.7663711
0.716016,0.75101507
0.724469,0.74909437
0.7246029,0.7654407
0.7118509,0.74563766
0.7127312,0.7549287
0.71988684,0.75956756
0.71219647,0.7536638
0.7175489,0.75722003
0.7180907,0.7597648
0.71658903,0.75296295
0.71899843,0.75029904
0.71844214,0.7557888
0.7124323,0.7538836
0.70897245,0.72717196
0.70053136,0.72080654
0.6991904,0.76154095
0.70411587,0.7352858
0.7187222,0.7676857
0.71801996,0.7577137
0.7211616,0.7543793
0.71734244,0.752707
0.7309378,0.76192635
0.73504907,0.7614974
0.7322086,0.7642954
0.74169147,0.7753176
0.7503857,0.7861891
0.74297166,0.8030133
0.7486079,0.77564263
0.753556,0.79862463
0.7633746,0.778715
0.7642933,0.79940325
0.76574206,0.8159761
0.76310045,0.7975155
0.76156014,0.7942788
0.76327217,0.79181373
0.7582548,0.7923597
0.75489956,0.7908086
0.7631593,0.78562593
0.7589695,0.7892214
0.7687458,0.79457814
0.77359545,0.8244762
0.76656544,0.7907507
0.76659566,0.81256294
0.77492386,0.8030522
0.77914613,0.82184005
0.78669506,0.81530386
0.7875484,0.8374099
0.7955954,0.8362535
0.7926271,0.82194066
0.784452,0.8280426
0.79469734,0.8278601
0.80416805,0.8454018
0.8185759,0.85855114
0.82721484,0.8902725
0.8283978,0.8615448
0.8177811,0.8755627
0.8249512,0.8758603
0.8398043,0.88624656
0.82572955,0.8546729
0.826946,0.8633806
0.8314011,0.8635284
0.8317532,0.8582066
0.82736754,0.848919
0.83584344,0.8844385
0.8431332,0.88323694
0.8425263,0.8944096
0.8477543,0.8903195
0.8483171,0.8996584
0.84332013,0.8861641
0.8475651,0.8969421
0.8568921,0.9201666
0.8493618,0.87892395
0.8444327,0.90963966
0.84781843,0.8960379
0.8547797,0.9184622
0.84948504,0.88935846
0.8655648,0.9186842
0.8549388,0.8945183
0.8706469,0.9242075
0.8597421,0.8981407
0.85772336,0.90681124
0.8642483,0.9133003
0.8600382,0.9078625
0.85643053,0.9038622
0.85949546,0.88456476
0.85771656,0.9067367
0.8577842,0.90194416
0.8604728,0.9202706
0.8500735,0.9107182
0.8575692,0.9072155
0.84935063,0.90416545
0.85130507,0.896937
0.8583561,0.8776897
0.84877163,0.8938179
0.85196215,0.87111753
0.8534276,0.89092946
0.85091776,0.91465044
0.8452268,0.8803476
0.8501463,0.89336914
0.8630429,0.8938128
0.8526075,0.89204764
0.85770917,0.8856656
0.8462684,0.8904736
0.84480935,0.89547825
0.8393307,0.8598777
0.83267146,0.8598793
0.84149283,0.91253555
0.85028374,0.89552575
0.8460575,0.9049667
0.8389223,0.89022315
0.8399931,0.8898857
0.83349115,0.86338115
0.8246569,0.87994957
0.8377223,0.8728698
0.838328,0.8704296
0.83523667,0.8782966
0.835693,0.8702893
0.8507107,0.8943669
0.845328,0.8878747
0.8377752,0.8771855
0.82804507,0.8465546
0.84489244,0.8846281
0.8594619,0.8954183
0.85821396,0.88097197
0.8610154,0.90419406
0.8510524,0.89533985
0.8474543,0.8867717
0.84824127,0.8842664
0.859108,0.8864019
0.8645309,0.89397633
0.8572162,0.8922157
0.848153,0.9200817
0.85728425,0.8963668
0.8629707,0.91572297
0.8748979,0.9221765
0.888046,0.9364542
0.8673439,0.9141927
0.86072874,0.89478654
0.86652243,0.9109641
0.87757075,0.9155954
0.87681735,0.91745645
0.88355875,0.92036647
0.88232684,0.92755556
0.8757085,0.90382904
0.88236904,0.93826324
0.8941532,0.9318513
0.89398205,0.93407196
0.8822339,0.9311047
0.87404025,0.9310119
0.875866,0.9357397
0.8898459,0.94579124
0.89080626,0.91575223
0.8950549,0.9451446
0.9003488,0.9286713
0.9097538,0.9495863
0.9039051,0.9599866
0.9016184,0.9345323
0.8913067,0.9465158
0.89489686,0.9572712
0.89017534,0.952738
0.8958439,0.93876815
0.9057425,0.96094304
0.8894724,0.9412446
0.88374245,0.9108359
0.88278776,0.92773026
0.880427,0.92802453
0.88378567,0.92137766
0.88303274,0.92554665
0.89198434,0.94576156
0.89495724,0.9443683
0.8873958,0.91910166
0.877904,0.9222353
0.8789859,0.914162
0.88001627,0.9301284
0.8777649,0.9314728
