Aleatory Uncertainty,Epistemic Uncertainty
0.23233356,0.9617469
0.2350692,0.94810313
0.23304702,0.95391864
0.23601644,0.9387491
0.23712334,0.9330382
0.23173615,0.9476597
0.23459408,0.9316466
0.23258732,0.9334496
0.2321332,0.9415632
0.23210442,0.9430831
0.23359652,0.9372265
0.2350478,0.92552054
0.22395901,0.94575304
0.22711453,0.9296884
0.22781119,0.9298451
0.22941002,0.9170218
0.22750868,0.91497326
0.22817248,0.9125461
0.23222695,0.89337313
0.22984806,0.89635193
0.22384599,0.9195181
0.2228672,0.91137123
0.21870482,0.9128038
0.22420722,0.90015626
0.22464967,0.89105684
0.2255017,0.89950395
0.22542557,0.88660085
0.22152428,0.89702946
0.22211055,0.89512813
0.2223791,0.8831717
0.217885,0.8964489
0.22109926,0.8820406
0.2170752,0.88372517
0.22068213,0.8802962
0.22272427,0.87869203
0.22073677,0.8815778
0.22086823,0.8768812
0.22133103,0.87219894
0.2174516,0.8886019
0.22003324,0.8899185
0.21829845,0.8840699
0.21855047,0.8745811
0.2146195,0.88330424
0.2171999,0.8845843
0.22056057,0.88110626
0.2157203,0.8826594
0.21947591,0.86924547
0.2166819,0.87927455
0.22126468,0.8675814
0.21788627,0.8695921
0.21340017,0.87853533
0.21700054,0.8653026
0.21757261,0.86838484
0.21634054,0.85443497
0.21754073,0.8489187
0.21467037,0.8596644
0.2173027,0.85475564
0.21539852,0.84635955
0.2167377,0.84594965
0.21373597,0.85047185
0.21153459,0.8553748
0.21367931,0.857484
0.21029486,0.8536541
0.20934038,0.8550933
0.21054411,0.8553721
0.21274596,0.8469945
0.21356015,0.8517933
0.2095799,0.8589193
0.21442185,0.8485384
0.21594504,0.8534456
0.2124654,0.85145456
0.21223718,0.86395776
0.21319257,0.8518046
0.2118395,0.8554395
0.21204758,0.86174357
0.21256554,0.857779
0.21487097,0.8470399
0.21627869,0.85658157
0.21279818,0.8616875
0.21657309,0.856588
0.21371697,0.8649529
0.21490571,0.8800783
0.21862628,0.8824082
0.22215866,0.8885491
0.22015993,0.89369863
0.22050641,0.8837129
0.22300296,0.875585
0.21808311,0.88066006
0.22017322,0.87755626
0.22304703,0.87404054
0.22486725,0.87555027
0.22244273,0.88091016
0.22033766,0.89524984
0.22019076,0.893305
0.218783,0.8832163
0.22437409,0.8787375
0.22434622,0.89831495
0.22833332,0.89333683
0.22916047,0.89879924
0.22415558,0.9063179
0.22475268,0.90307003
0.2266317,0.8982772
0.2239933,0.91895056
0.22376455,0.91443443
0.22675838,0.90533924
0.22286819,0.9174964
0.23153324,0.89600545
0.22476274,0.9252503
0.22659297,0.9187313
0.22969893,0.91754603
0.23236749,0.91234136
0.22714145,0.93510115
0.23074532,0.91703093
0.2272547,0.9250812
0.22945671,0.9179483
0.22603093,0.9388132
0.223448,0.9350462
0.22691265,0.92249525
0.22743559,0.9426489
0.23316227,0.9201518
0.23727466,0.9342572
0.23399177,0.9304177
0.23500873,0.9309527
0.23434715,0.9353259
0.23118679,0.9347302
0.23156127,0.940112
0.2304152,0.94448537
0.23418799,0.9500436
0.23256698,0.9462285
0.23636842,0.95234704
0.23344295,0.9487477
0.23831704,0.93592036
0.23369236,0.9453662
0.23363572,0.9449067
0.22971115,0.9456626
0.23599719,0.94602966
0.2336483,0.9502006
0.2345516,0.963926
0.2381596,0.9715117
0.23868863,0.9615615
0.24161671,0.9592946
0.24066946,0.95910287
0.23791398,0.9540906
0.23432723,0.961232
0.23743555,0.95321304
0.23510239,0.95410484
0.2376048,0.9526433
0.23610789,0.94237804
0.23629132,0.9525551
0.23583323,0.95254874
0.23715112,0.9461692
0.23583126,0.943325
0.23370604,0.96158665
0.2340322,0.9530929
0.23267284,0.95236665
0.23517267,0.9331165
0.22859403,0.92844754
0.23256357,0.93548554
0.23277494,0.94848263
0.23501848,0.93152833
0.23442362,0.93295187
0.23443471,0.93654776
0.22861642,0.9482001
0.2354292,0.94219136
0.22956088,0.95548016
0.23328231,0.93481714
0.23660289,0.9457252
0.23697205,0.9454657
0.23557654,0.94890136
0.23683937,0.93196315
0.23012957,0.9600061
0.23549329,0.94021404
0.23183195,0.9373137
0.23736547,0.92894053
0.23000428,0.9519808
0.22949971,0.9406197
0.22865567,0.9520695
0.23413818,0.9523258
0.23738836,0.9367878
0.23614013,0.94115067
0.23689684,0.9361699
0.23000066,0.9405368
0.22920512,0.9427125
0.23023278,0.9423143
0.2320377,0.94230646
0.22678174,0.9404982
0.23161843,0.9107843
0.22931394,0.9211015
0.23038043,0.9212358
0.23110357,0.9276154
0.23348016,0.93260795
0.23016274,0.93336385
0.22245471,0.9347793
0.22829314,0.92758054
0.2228569,0.9474363
0.22998863,0.9334995
0.22897944,0.92579436
0.22722988,0.9166798
0.2256693,0.9193566
0.22450398,0.9274644
0.2300748,0.907511
0.22480623,0.9285645
0.22647157,0.9205835
0.21671207,0.924361
0.22676164,0.919237
0.22644402,0.9199126
0.22235107,0.93292344
0.22346248,0.9244211
0.22178854,0.93447715
0.2295438,0.9055543
0.22994116,0.9138451
0.22250015,0.91966933
0.22581232,0.913022
0.22348584,0.9107047
0.22688642,0.9076586
0.22459261,0.90066105
0.22393538,0.8974495
0.22414932,0.9010823
0.22215638,0.9091162
0.2242239,0.89714414
