,east_comp,north_comp,verti_comp,Time
0,-0.001429984,0.003628331,-0.00922125,0
1,-0.001272939,0.00247733,-0.009277844,0.02
2,0.000379059,0.000511616,-0.005865948,0.04
3,0.003558566,0.00045715,-0.007816752,0.06
4,0.004830175,-0.000427618,0.00366165,0.08
5,0.001770005,0.000708384,0.007992331,0.1
6,0.000458395,0.001914492,0.000961109,0.12
7,0.000416825,0.004091922,-0.000721513,0.14
8,0.001529787,0.002447144,0.012349311,0.16
9,0.000508994,-0.000535395,0.004751321,0.18
10,-0.000688125,0.001886803,-0.007227051,0.2
11,-0.001213339,0.000498175,-0.000187475,0.22
12,-0.003070695,-0.005743363,0.009313586,0.24
13,0.001915643,-0.006960498,0.006096825,0.26
14,0.001815466,-0.002709227,-0.002377024,0.28
15,-0.00475711,-0.000427969,-0.010802912,0.3
16,-0.003375306,-0.003155967,-0.004862731,0.32
17,-4.32e-05,0.002507844,0.01025581,0.34
18,0.001546624,0.003397703,0.009805093,0.36
19,0.002262011,-0.002964217,0.007859577,0.38
20,-0.001462201,-0.002228686,0.001503807,0.4
21,-0.001986009,0.001157257,-0.008702204,0.42
22,0.000875979,0.000494221,-0.008145735,0.44
23,-0.000131076,0.003260053,0.00136946,0.46
24,-0.001436101,0.003790218,0.00126044,0.48
25,-0.000959815,-0.005284333,0.008873778,0.5
26,0.00181674,-0.006408334,0.008794771,0.52
27,0.000871586,0.006055989,0.009260883,0.54
28,-0.000621276,0.004807904,0.009204665,0.56
29,-0.002777675,0.000644974,-0.002598089,0.58
30,-0.004014019,0.003307193,-0.01356617,0.6
31,-0.003388406,-0.000170975,-0.005996665,0.62
32,-0.001239273,-0.004067458,0.006515468,0.64
33,0.003932207,-0.00478539,0.009989008,0.66
34,-8.73e-05,-0.002954569,-0.003409967,0.68
35,-0.00675615,-0.00579907,-0.0165569,0.7
36,-0.00424977,-0.001758246,-0.017631294,0.72
37,-0.0008665,0.001972343,0.001058798,0.74
38,-0.000728271,-0.000591907,0.029013804,0.76
39,-0.001000836,0.002340726,0.029989821,0.78
40,-0.000205015,-0.000677712,0.007376062,0.8
41,-0.004301728,-0.005039604,-0.020554029,0.82
42,-0.000879821,-0.003070787,-0.022436017,0.84
43,0.001826276,-0.000733742,-0.025182835,0.86
44,-0.002411831,-0.001494448,-0.021418441,0.88
45,9.65e-05,-0.002603153,0.002464078,0.9
46,0.002032575,-0.001746097,0.015413118,0.92
